"",BBK01.OEAO03O,BBK01.OEAO03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:29,
2002-01,3.061,
2002-04,2.369,
2002-07,2.198,
2002-10,2.111,
2003-01,2.423,
2003-04,1.379,
2003-07,1.651,
2003-10,1.756,
2004-01,2.126,
2004-04,1.367,
2004-07,1.404,
2004-10,1.702,
2005-01,3.245,
2005-04,2.882,
2005-07,2.649,
2005-10,3.030,
2006-01,3.726,
2006-04,3.073,
2006-07,3.149,
2006-10,3.620,
2007-01,4.429,
2007-04,3.449,
2007-07,3.502,
2007-10,3.643,
2008-01,3.805,
2008-04,3.145,
2008-07,3.282,
2008-10,3.593,
2009-01,3.171,
2009-04,2.478,
2009-07,2.589,
2009-10,2.819,
2010-01,2.823,
2010-04,2.231,
2010-07,2.082,
2010-10,2.351,
2011-01,2.559,
2011-04,2.307,
2011-07,2.368,
2011-10,2.484,
2012-01,2.676,
2012-04,2.286,
2012-07,2.455,
2012-10,2.732,
2013-01,2.993,
2013-04,2.223,
2013-07,2.094,
2013-10,2.054,
2014-01,2.314,
2014-04,2.056,
2014-07,2.068,
