"",BBK01.QUJ430,BBK01.QUJ430_FLAGS
"","All foreign subsidiaries: Liabilities to non-residents, total / Slovenia / US Dollars",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:32,
1994-01,0.049,
1994-02,0.035,
1994-03,0.026,
1994-04,0.015,
1994-05,0.026,
1994-06,0.019,
1994-07,0.002,
1994-08,0.017,
1994-09,0.014,
1994-10,0.062,
1994-11,0.086,
1994-12,0.110,
1995-01,0.100,
1995-02,0.062,
1995-03,0.071,
1995-04,0.060,
1995-05,0.064,
1995-06,0.067,
1995-07,0.067,
1995-08,0.066,
1995-09,0.053,
1995-10,0.082,
1995-11,0.058,
1995-12,0.074,
1996-01,0.081,
1996-02,0.084,
1996-03,0.084,
1996-04,0.092,
1996-05,0.078,
1996-06,0.064,
1996-07,0.031,
1996-08,0.032,
1996-09,0.040,
1996-10,0.040,
1996-11,0.040,
1996-12,0.090,
1997-01,0.069,
1997-02,0.090,
1997-03,0.072,
1997-04,0.092,
1997-05,0.095,
1997-06,0.081,
1997-07,0.097,
1997-08,0.079,
1997-09,0.101,
1997-10,0.099,
1997-11,0.094,
1997-12,0.095,
1998-01,0.078,
1998-02,0.082,
1998-03,0.106,
1998-04,0.084,
1998-05,0.058,
1998-06,0.039,
1998-07,0.055,
1998-08,0.084,
1998-09,0.085,
1998-10,0.056,
1998-11,0.079,
1998-12,0.076,
1999-01,0.029,
1999-02,0.029,
1999-03,0.043,
1999-04,0.009,
1999-05,0.011,
1999-06,0.012,
1999-07,0.047,
1999-08,0.042,
1999-09,0.062,
1999-10,0.042,
1999-11,0.022,
1999-12,0.043,
2000-01,0.022,
2000-02,0.046,
2000-03,0.072,
2000-04,0.052,
2000-05,0.064,
2000-06,0.031,
2000-07,0.058,
2000-08,0.040,
2000-09,0.032,
2000-10,0.019,
2000-11,0.023,
2000-12,0.031,
2001-01,0.074,
2001-02,0.017,
2001-03,0.066,
2001-04,0.040,
2001-05,0.036,
2001-06,0.121,
2001-07,0.109,
2001-08,0.127,
2001-09,0.109,
2001-10,0.147,
2001-11,0.119,
2001-12,0.123,
2002-01,0.095,
2002-02,0.095,
2002-03,0.092,
2002-04,0.107,
2002-05,0.090,
2002-06,0.082,
2002-07,0.079,
2002-08,0.100,
2002-09,0.107,
2002-10,0.113,
2002-11,0.109,
2002-12,0.128,
2003-01,0.082,
2003-02,0.070,
2003-03,0.093,
2003-04,0.080,
2003-05,0.067,
2003-06,0.071,
2003-07,0.049,
2003-08,0.071,
2003-09,0.064,
2003-10,0.061,
2003-11,0.053,
2003-12,0.058,
2004-01,0.062,
2004-02,0.071,
2004-03,0.064,
2004-04,0.064,
2004-05,0.076,
2004-06,0.076,
2004-07,0.080,
2004-08,0.067,
2004-09,0.072,
2004-10,0.064,
2004-11,0.049,
2004-12,0.048,
2005-01,0.054,
2005-02,0.043,
2005-03,0.046,
2005-04,0.050,
2005-05,0.042,
2005-06,0.041,
2005-07,0.037,
2005-08,0.027,
2005-09,0.038,
2005-10,0.029,
2005-11,0.037,
2005-12,0.047,
2006-01,0.038,
2006-02,0.029,
2006-03,0.069,
2006-04,0.045,
2006-05,0.063,
2006-06,0.065,
2006-07,0.069,
2006-08,0.086,
2006-09,0.093,
2006-10,0.075,
2006-11,0.070,
2006-12,0.056,
2007-01,0.018,
2007-02,0.014,
2007-03,0.013,
2007-04,0.008,
2007-05,0.011,
2007-06,0.014,
2007-07,0.017,
2007-08,0.021,
2007-09,0.011,
2007-10,0.007,
2007-11,0.009,
2007-12,0.012,
2008-01,0.012,
2008-02,0.021,
2008-03,0.008,
2008-04,0.008,
2008-05,0.008,
2008-06,0.006,
2008-07,0.010,
2008-08,0.013,
2008-09,0.029,
2008-10,0.012,
2008-11,0.026,
2008-12,0.015,
2009-01,0.009,
2009-02,0.011,
2009-03,0.012,
2009-04,0.015,
2009-05,0.033,
2009-06,0.015,
2009-07,0.016,
2009-08,0.011,
2009-09,0.015,
2009-10,0.022,
2009-11,0.009,
2009-12,0.000,
2010-01,0.000,
2010-02,0.000,
2010-03,0.000,
2010-04,0.000,
2010-05,0.000,
2010-06,0.046,
2010-07,0.000,
2010-08,0.000,
2010-09,0.000,
2010-10,0.000,
2010-11,0.000,
2010-12,0.000,
2011-01,0.000,
2011-02,0.000,
2011-03,0.000,
2011-04,0.000,
2011-05,0.000,
2011-06,0.000,
2011-07,0.000,
2011-08,0.000,
2011-09,0.000,
2011-10,0.000,
2011-11,0.001,
2011-12,0.001,
2012-01,0.001,
2012-02,0.000,
2012-03,0.000,
2012-04,0.001,
2012-05,0.000,
2012-06,0.001,
2012-07,0.004,
2012-08,0.000,
2012-09,0.002,
2012-10,0.000,
2012-11,0.002,
2012-12,0.002,
2013-01,0.008,
2013-02,0.008,
2013-03,0.023,
2013-04,0.059,
2013-05,0.061,
2013-06,0.041,
2013-07,0.003,
2013-08,0.001,
2013-09,0.001,
2013-10,0.001,
2013-11,0.002,
2013-12,0.002,
2014-01,0.008,
2014-02,0.005,
2014-03,0.019,
2014-04,0.002,
2014-05,0.033,
2014-06,0.033,
2014-07,0.037,
2014-08,0.037,
2014-09,0.033,
2014-10,0.043,
2014-11,0.013,
