"",BBK01.OEAH14K,BBK01.OEAH14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:34,
2002-01,0.883,
2002-04,0.812,
2002-07,0.943,
2002-10,0.894,
2003-01,0.797,
2003-04,0.676,
2003-07,0.666,
2003-10,0.641,
2004-01,0.631,
2004-04,0.691,
2004-07,0.566,
2004-10,0.581,
2005-01,0.548,
2005-04,0.573,
2005-07,0.599,
2005-10,0.534,
2006-01,0.503,
2006-04,0.601,
2006-07,0.603,
2006-10,0.539,
2007-01,0.435,
2007-04,0.425,
2007-07,0.408,
2007-10,0.418,
2008-01,0.421,
2008-04,0.420,
2008-07,0.448,
2008-10,0.430,
2009-01,0.474,
2009-04,0.371,
2009-07,0.302,
2009-10,0.273,
2010-01,0.245,
2010-04,0.223,
2010-07,0.231,
2010-10,0.223,
2011-01,0.214,
2011-04,0.185,
2011-07,0.182,
2011-10,0.194,
2012-01,0.186,
2012-04,0.147,
2012-07,0.132,
2012-10,0.129,
2013-01,0.130,
2013-04,0.174,
2013-07,0.157,
2013-10,0.151,
2014-01,0.142,
2014-04,0.138,
2014-07,0.143,
