"",BBK01.OEYI02P,BBK01.OEYI02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:44,
2002-01,0.309,
2002-04,0.323,
2002-07,0.327,
2002-10,0.339,
2003-01,0.352,
2003-04,0.340,
2003-07,0.385,
2003-10,0.376,
2004-01,0.353,
2004-04,0.423,
2004-07,0.381,
2004-10,0.417,
2005-01,0.387,
2005-04,0.411,
2005-07,0.416,
2005-10,0.403,
2006-01,0.574,
2006-04,0.588,
2006-07,0.436,
2006-10,0.500,
2007-01,0.546,
2007-04,0.495,
2007-07,0.599,
2007-10,0.605,
2008-01,0.561,
2008-04,0.593,
2008-07,0.461,
2008-10,0.899,
2009-01,0.692,
2009-04,0.772,
2009-07,0.753,
2009-10,1.021,
2010-01,1.048,
2010-04,1.092,
2010-07,0.888,
2010-10,0.924,
2011-01,1.226,
2011-04,1.163,
2011-07,1.394,
2011-10,1.217,
2012-01,0.941,
2012-04,1.074,
2012-07,1.003,
2012-10,1.534,
2013-01,1.083,
2013-04,1.115,
2013-07,1.223,
2013-10,1.406,
2014-01,1.433,
2014-04,1.193,
2014-07,1.342,
