"",BBK01.OELI03T,BBK01.OELI03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:42,
2002-01,0.676,
2002-04,0.649,
2002-07,0.642,
2002-10,0.677,
2003-01,0.726,
2003-04,0.659,
2003-07,0.697,
2003-10,0.761,
2004-01,0.788,
2004-04,0.689,
2004-07,0.759,
2004-10,0.860,
2005-01,0.804,
2005-04,0.768,
2005-07,0.753,
2005-10,0.812,
2006-01,0.841,
2006-04,0.808,
2006-07,0.799,
2006-10,0.840,
2007-01,0.883,
2007-04,0.905,
2007-07,0.900,
2007-10,0.882,
2008-01,0.939,
2008-04,0.909,
2008-07,0.930,
2008-10,1.006,
2009-01,1.121,
2009-04,0.839,
2009-07,0.831,
2009-10,0.785,
2010-01,0.769,
2010-04,0.775,
2010-07,0.758,
2010-10,0.749,
2011-01,0.780,
2011-04,0.734,
2011-07,0.758,
2011-10,0.781,
2012-01,0.677,
2012-04,0.609,
2012-07,0.601,
2012-10,0.595,
2013-01,0.433,
2013-04,0.407,
2013-07,0.382,
2013-10,0.364,
2014-01,0.367,
2014-04,0.355,
2014-07,0.321,
