"",BBFB1.Q.N.DE.AT.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:24,
1991-01,196.692,
1991-04,212.136,
1991-07,216.466,
1991-10,228.878,
1992-01,293.099,
1992-04,323.226,
1992-07,317.727,
1992-10,311.754,
1993-01,272.701,
1993-04,301.647,
1993-07,291.034,
1993-10,297.828,
1994-01,320.839,
1994-04,408.726,
1994-07,330.817,
1994-10,344.850,
1995-01,476.338,
1995-04,414.114,
1995-07,426.582,
1995-10,437.930,
1996-01,262.703,
1996-04,254.430,
1996-07,256.169,
1996-10,291.058,
1997-01,295.338,
1997-04,301.931,
1997-07,313.203,
1997-10,309.521,
1998-01,340.522,
1998-04,347.616,
1998-07,372.541,
1998-10,373.373,
1999-01,339.652,
1999-04,432.924,
1999-07,365.556,
1999-10,354.824,
2000-01,198.384,
2000-04,224.594,
2000-07,228.330,
2000-10,229.117,
2001-01,739.607,
2001-04,777.979,
2001-07,819.269,
2001-10,810.115,
2002-01,414.791,
2002-04,402.315,
2002-07,436.383,
2002-10,457.541,
2003-01,188.257,
2003-04,183.703,
2003-07,185.487,
2003-10,199.438,
2004-01,444.122,
2004-04,422.471,
2004-07,416.199,
2004-10,436.103,
2005-01,681.741,
2005-04,686.200,
2005-07,695.683,
2005-10,698.779,
2006-01,673.300,
2006-04,659.089,
2006-07,635.066,
2006-10,630.244,
2007-01,397.476,
2007-04,404.484,
2007-07,408.311,
2007-10,470.438,
2008-01,328.179,
2008-04,321.712,
2008-07,347.940,
2008-10,378.770,
2009-01,280.135,
2009-04,275.087,
2009-07,292.312,
2009-10,310.517,
2010-01,346.262,
2010-04,377.866,
2010-07,393.512,
2010-10,404.758,
2011-01,441.276,
2011-04,468.026,
2011-07,463.664,
2011-10,490.741,
2012-01,561.123,
2012-04,584.906,
2012-07,556.364,
2012-10,686.241,
2013-01,483.826,
2013-04,504.338,
2013-07,469.681,
2013-10,479.426,
2014-01,487.248,Provisional value
2014-04,526.435,Provisional value
2014-07,536.350,Provisional value
