"",BBK01.OEAC13R,BBK01.OEAC13R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:59,
2002-01,1.606,
2002-04,1.586,
2002-07,1.595,
2002-10,1.612,
2003-01,1.540,
2003-04,1.566,
2003-07,1.125,
2003-10,1.094,
2004-01,1.101,
2004-04,1.063,
2004-07,1.071,
2004-10,1.058,
2005-01,1.029,
2005-04,1.027,
2005-07,1.038,
2005-10,1.034,
2006-01,1.030,
2006-04,1.065,
2006-07,1.084,
2006-10,1.125,
2007-01,1.161,
2007-04,1.165,
2007-07,1.136,
2007-10,1.125,
2008-01,1.061,
2008-04,1.061,
2008-07,1.037,
2008-10,1.013,
2009-01,0.971,
2009-04,0.912,
2009-07,0.926,
2009-10,0.925,
2010-01,0.872,
2010-04,0.876,
2010-07,0.896,
2010-10,0.960,
2011-01,0.955,
2011-04,0.964,
2011-07,0.951,
2011-10,0.917,
2012-01,0.896,
2012-04,0.980,
2012-07,0.994,
2012-10,1.055,
2013-01,1.024,
2013-04,1.049,
2013-07,1.097,
2013-10,1.139,
2014-01,1.148,
2014-04,1.158,
2014-07,1.150,
