"",BBSF2.M.1.S.00000.REN01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Loans received,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:47,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,2,
1993-05,1,
1993-06,1,
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,0,
1993-12,26,
1994-01,3,
1994-02,1,
1994-03,0,
1994-04,0,
1994-05,0,
1994-06,0,
1994-07,0,
1994-08,0,
1994-09,0,
1994-10,2,
1994-11,1,
1994-12,12,
1995-01,0,
1995-02,1,
1995-03,5,
1995-04,0,
1995-05,0,
1995-06,2,
1995-07,1,
1995-08,0,
1995-09,0,
1995-10,2,
1995-11,5,
1995-12,-,Nothing exists
1996-01,1,
1996-02,0,
1996-03,37,
1996-04,0,
1996-05,0,
1996-06,0,
1996-07,0,
1996-08,0,
1996-09,0,
1996-10,-,Nothing exists
1996-11,0,
1996-12,1,
1997-01,0,
1997-02,3,
1997-03,11,
1997-04,8,
1997-05,1,
1997-06,2,
1997-07,4,
1997-08,8,
1997-09,10,
1997-10,8,
1997-11,2,
1997-12,18,
1998-01,0,
1998-02,3,
1998-03,2,
1998-04,0,
1998-05,13,
1998-06,6,
1998-07,48,
1998-08,5,
1998-09,8,
1998-10,0,
1998-11,1,
1998-12,2,
1999-01,1,
1999-02,10,
1999-03,1,
1999-04,0,
1999-05,1,
1999-06,1,
1999-07,0,
1999-08,107,
1999-09,2,
1999-10,-,Nothing exists
1999-11,5,
1999-12,4,
2000-01,0,
2000-02,1,
2000-03,2,
2000-04,0,
2000-05,5,
2000-06,15,
2000-07,0,
2000-08,1,
2000-09,1,
2000-10,6,
2000-11,0,
2000-12,0,
2001-01,-,Nothing exists
2001-02,2,
2001-03,1,
2001-04,1,
2001-05,15,
2001-06,0,
2001-07,0,
2001-08,0,
2001-09,0,
2001-10,0,
2001-11,0,
2001-12,2,
2002-01,1,
2002-02,7,
2002-03,0,
2002-04,0,
2002-05,0,
2002-06,0,
2002-07,1,
2002-08,1,
2002-09,0,
2002-10,1,
2002-11,0,
2002-12,1,
2003-01,3,
2003-02,6,
2003-03,0,
2003-04,0,
2003-05,0,
2003-06,0,
2003-07,3,
2003-08,2,
2003-09,5,
2003-10,3,
2003-11,21,
2003-12,2,
2004-01,4,
2004-02,8,
2004-03,2,
2004-04,0,
2004-05,0,
2004-06,0,
2004-07,2,
2004-08,1,
2004-09,5,
2004-10,4,
2004-11,0,
2004-12,4,
2005-01,0,
2005-02,2,
2005-03,0,
2005-04,0,
2005-05,1,
2005-06,1,
2005-07,1,
2005-08,5,
2005-09,0,
2005-10,3,
2005-11,11,
2005-12,0,
2006-01,0,
2006-02,0,
2006-03,3,
2006-04,1,
2006-05,1,
2006-06,18,
2006-07,0,
2006-08,11,
2006-09,2,
2006-10,2,
2006-11,1,
2006-12,0,
2007-01,3,
2007-02,9,
2007-03,3,
2007-04,0,
2007-05,-,Nothing exists
2007-06,16,
2007-07,3,
2007-08,12,
2007-09,1,
2007-10,1,
2007-11,0,
2007-12,5,
2008-01,2,
2008-02,1,
2008-03,0,
2008-04,1,
2008-05,1,
2008-06,2,
2008-07,1,
2008-08,0,
2008-09,0,
2008-10,0,
2008-11,48,
2008-12,217,
2009-01,-,Nothing exists
2009-02,25,
2009-03,0,
2009-04,4,
2009-05,5,
2009-06,9,
2009-07,18,
2009-08,12,
2009-09,30,
2009-10,25,
2009-11,10,
2009-12,18,
2010-01,38,
2010-02,25,
2010-03,13,
2010-04,19,
2010-05,97,
2010-06,15,
2010-07,141,
2010-08,105,
2010-09,388,
2010-10,43,
2010-11,116,
2010-12,42,
2011-01,277,
2011-02,169,
2011-03,157,
2011-04,606,
2011-05,191,
2011-06,145,
2011-07,188,
2011-08,153,
2011-09,341,
2011-10,632,
2011-11,340,
2011-12,262,
2012-01,598,
2012-02,143,
2012-03,148,
2012-04,393,
2012-05,620,
2012-06,566,
2012-07,698,
2012-08,735,
2012-09,760,
2012-10,508,
2012-11,1097,
2012-12,901,
2013-01,666,
2013-02,703,
2013-03,674,
2013-04,629,
2013-05,903,
2013-06,594,
2013-07,558,
2013-08,809,
2013-09,264,
2013-10,1135,
2013-11,546,
2013-12,359,
2014-01,946,
2014-02,664,
2014-03,155,
2014-04,414,
2014-05,483,
2014-06,217,
2014-07,640,
2014-08,899,
2014-09,775,
2014-10,923,
2014-11,402,
