"",BBK01.OEBM01N,BBK01.OEBM01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:17,
2002-01,2.080,
2002-04,2.076,
2002-07,2.034,
2002-10,2.074,
2003-01,1.587,
2003-04,1.851,
2003-07,1.611,
2003-10,2.390,
2004-01,1.781,
2004-04,1.716,
2004-07,1.759,
2004-10,0.856,
2005-01,1.085,
2005-04,1.043,
2005-07,0.856,
2005-10,1.154,
2006-01,2.151,
2006-04,4.368,
2006-07,4.045,
2006-10,2.032,
2007-01,3.139,
2007-04,3.440,
2007-07,3.592,
2007-10,4.256,
2008-01,3.952,
2008-04,5.516,
2008-07,5.801,
2008-10,6.121,
2009-01,6.364,
2009-04,7.361,
2009-07,6.073,
2009-10,5.309,
2010-01,4.272,
2010-04,5.484,
2010-07,5.543,
2010-10,6.122,
2011-01,6.510,
2011-04,7.401,
2011-07,8.715,
2011-10,6.185,
2012-01,9.368,
2012-04,9.908,
2012-07,9.201,
2012-10,14.575,
2013-01,12.628,
2013-04,13.260,
2013-07,12.830,
2013-10,9.706,
2014-01,10.756,
2014-04,10.527,
2014-07,8.660,
