"",BBK01.OEAH85K,BBK01.OEAH85K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:59,
2002-01,6.096,
2002-04,6.252,
2002-07,6.589,
2002-10,6.160,
2003-01,6.969,
2003-04,6.401,
2003-07,6.441,
2003-10,5.547,
2004-01,5.464,
2004-04,5.782,
2004-07,6.171,
2004-10,5.214,
2005-01,5.147,
2005-04,6.885,
2005-07,6.735,
2005-10,6.378,
2006-01,6.417,
2006-04,6.342,
2006-07,5.284,
2006-10,5.005,
2007-01,5.059,
2007-04,4.809,
2007-07,5.329,
2007-10,5.993,
2008-01,5.738,
2008-04,6.110,
2008-07,6.309,
2008-10,6.586,
2009-01,6.299,
2009-04,5.965,
2009-07,5.700,
2009-10,5.351,
2010-01,6.161,
2010-04,6.052,
2010-07,6.189,
2010-10,5.999,
2011-01,5.508,
2011-04,5.497,
2011-07,5.941,
2011-10,5.886,
2012-01,6.195,
2012-04,7.228,
2012-07,7.747,
2012-10,8.377,
2013-01,8.073,
2013-04,8.170,
2013-07,10.219,
2013-10,8.677,
2014-01,8.308,
2014-04,8.939,
2014-07,9.574,
