"",BBK01.OEAD03O,BBK01.OEAD03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:40,
2002-01,0.386,
2002-04,0.387,
2002-07,0.318,
2002-10,0.305,
2003-01,0.310,
2003-04,0.320,
2003-07,0.288,
2003-10,0.269,
2004-01,0.264,
2004-04,0.278,
2004-07,0.253,
2004-10,0.228,
2005-01,0.241,
2005-04,0.233,
2005-07,0.222,
2005-10,0.241,
2006-01,0.269,
2006-04,0.274,
2006-07,0.275,
2006-10,0.288,
2007-01,0.316,
2007-04,0.309,
2007-07,0.297,
2007-10,0.294,
2008-01,0.361,
2008-04,0.354,
2008-07,0.302,
2008-10,0.489,
2009-01,0.367,
2009-04,0.335,
2009-07,0.312,
2009-10,0.306,
2010-01,0.264,
2010-04,0.344,
2010-07,0.365,
2010-10,0.457,
2011-01,0.355,
2011-04,0.357,
2011-07,0.364,
2011-10,0.525,
2012-01,0.404,
2012-04,0.413,
2012-07,0.417,
2012-10,0.555,
2013-01,0.396,
2013-04,0.400,
2013-07,0.393,
2013-10,0.563,
2014-01,0.395,
2014-04,0.407,
2014-07,0.400,
