"",BBFB1.Q.N.DE.R5.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:39,
1991-01,20.079,
1991-04,27.229,
1991-07,51.338,
1991-10,35.650,
1992-01,28.923,
1992-04,22.595,
1992-07,22.363,
1992-10,30.597,
1993-01,28.660,
1993-04,21.317,
1993-07,29.657,
1993-10,22.725,
1994-01,21.402,
1994-04,16.808,
1994-07,15.367,
1994-10,21.060,
1995-01,24.849,
1995-04,17.221,
1995-07,18.304,
1995-10,24.825,
1996-01,25.420,
1996-04,22.298,
1996-07,28.148,
1996-10,36.641,
1997-01,32.474,
1997-04,27.701,
1997-07,32.122,
1997-10,26.805,
1998-01,28.114,
1998-04,29.699,
1998-07,36.107,
1998-10,30.397,
1999-01,33.117,
1999-04,25.733,
1999-07,31.637,
1999-10,38.839,
2000-01,30.713,
2000-04,30.636,
2000-07,29.135,
2000-10,35.870,
2001-01,38.331,
2001-04,40.750,
2001-07,43.413,
2001-10,46.162,
2002-01,40.423,
2002-04,45.772,
2002-07,42.202,
2002-10,46.351,
2003-01,41.460,
2003-04,46.367,
2003-07,55.595,
2003-10,42.343,
2004-01,44.665,
2004-04,47.458,
2004-07,42.538,
2004-10,49.203,
2005-01,83.686,
2005-04,49.547,
2005-07,59.702,
2005-10,59.979,
2006-01,50.210,
2006-04,48.578,
2006-07,54.208,
2006-10,49.622,
2007-01,50.819,
2007-04,71.002,
2007-07,81.051,
2007-10,65.110,
2008-01,83.394,
2008-04,54.296,
2008-07,81.651,
2008-10,64.078,
2009-01,67.824,
2009-04,92.401,
2009-07,85.294,
2009-10,56.634,
2010-01,52.469,
2010-04,70.040,
2010-07,80.826,
2010-10,72.984,
2011-01,58.167,
2011-04,52.285,
2011-07,69.816,
2011-10,67.051,
2012-01,88.238,
2012-04,72.079,
2012-07,212.825,
2012-10,62.803,
2013-01,75.521,
2013-04,57.673,
2013-07,60.694,
2013-10,82.619,
2014-01,54.014,Provisional value
2014-04,46.732,Provisional value
2014-07,43.824,Provisional value
