"",BBK01.CEBFX0,BBK01.CEBFX0_FLAGS
"",longer-term loans debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:29,
1991-01,12.4,
1991-04,12.9,
1991-07,13.0,
1991-10,14.1,
1992-01,14.1,
1992-04,14.7,
1992-07,15.2,
1992-10,16.6,
1993-01,16.7,
1993-04,17.6,
1993-07,17.5,
1993-10,19.0,
1994-01,25.8,
1994-04,25.6,
1994-07,26.4,
1994-10,27.9,
1995-01,22.2,
1995-04,23.3,
1995-07,24.8,
1995-10,26.8,
1996-01,27.2,
1996-04,28.0,
1996-07,29.5,
1996-10,30.4,
1997-01,30.9,
1997-04,31.4,
1997-07,33.7,
1997-10,39.4,
1998-01,41.8,
1998-04,48.5,
1998-07,47.9,
1998-10,51.1,
1999-01,66.4,
1999-04,69.5,
1999-07,62.5,
1999-10,62.8,
2000-01,79.8,
2000-04,83.4,
2000-07,87.4,
2000-10,141.0,
2001-01,148.7,
2001-04,152.9,
2001-07,167.3,
2001-10,176.5,
2002-01,178.4,
2002-04,200.7,
2002-07,205.6,
2002-10,220.3,
2003-01,215.0,
2003-04,219.3,
2003-07,226.8,
2003-10,213.3,
2004-01,190.0,
2004-04,197.3,
2004-07,200.1,
2004-10,186.9,
2005-01,192.1,
2005-04,195.1,
2005-07,197.1,
2005-10,203.7,
2006-01,213.5,
2006-04,222.2,
2006-07,227.4,
2006-10,231.6,
2007-01,231.4,
2007-04,232.6,
2007-07,241.0,
2007-10,236.1,
2008-01,249.5,
2008-04,252.0,
2008-07,259.7,
2008-10,277.3,
2009-01,282.5,
2009-04,291.9,
2009-07,302.4,
2009-10,309.5,
2010-01,322.7,
2010-04,335.8,
2010-07,338.8,
2010-10,350.3,
2011-01,350.0,
2011-04,345.6,
2011-07,351.2,
2011-10,351.5,
2012-01,357.2,
2012-04,362.7,
2012-07,361.2,
2012-10,353.5,
2013-01,354.1,
2013-04,354.6,
2013-07,348.6,
2013-10,331.9,
2014-01,333.5,
