"",BBSF2.M.1.P.00000.REN01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:27,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,2671,
1993-05,2777,
1993-06,3421,
1993-07,3839,
1993-08,3839,
1993-09,3195,
1993-10,2858,
1993-11,3859,
1993-12,3349,
1994-01,3797,
1994-02,3359,
1994-03,4353,
1994-04,3518,
1994-05,4535,
1994-06,3707,
1994-07,3945,
1994-08,3962,
1994-09,3278,
1994-10,3219,
1994-11,2884,
1994-12,3345,
1995-01,3848,
1995-02,4069,
1995-03,3931,
1995-04,3500,
1995-05,3017,
1995-06,3402,
1995-07,3399,
1995-08,3151,
1995-09,2490,
1995-10,2566,
1995-11,2894,
1995-12,2578,
1996-01,2776,
1996-02,2765,
1996-03,2599,
1996-04,2559,
1996-05,2620,
1996-06,2730,
1996-07,3061,
1996-08,2372,
1996-09,2570,
1996-10,2381,
1996-11,2617,
1996-12,2619,
1997-01,3234,
1997-02,3252,
1997-03,3179,
1997-04,3193,
1997-05,3427,
1997-06,3115,
1997-07,3348,
1997-08,3417,
1997-09,2845,
1997-10,2509,
1997-11,2792,
1997-12,2807,
1998-01,3459,
1998-02,3202,
1998-03,3361,
1998-04,3154,
1998-05,3172,
1998-06,3085,
1998-07,3064,
1998-08,3604,
1998-09,3309,
1998-10,2893,
1998-11,2997,
1998-12,3158,
1999-01,3386,
1999-02,3113,
1999-03,2657,
1999-04,3230,
1999-05,3090,
1999-06,3079,
1999-07,3115,
1999-08,3038,
1999-09,3093,
1999-10,3084,
1999-11,2672,
1999-12,2827,
2000-01,2661,
2000-02,2468,
2000-03,2924,
2000-04,2962,
2000-05,2992,
2000-06,2789,
2000-07,2861,
2000-08,2809,
2000-09,2878,
2000-10,3139,
2000-11,2472,
2000-12,2526,
2001-01,3376,
2001-02,3373,
2001-03,2897,
2001-04,3383,
2001-05,3620,
2001-06,3497,
2001-07,3469,
2001-08,4542,
2001-09,3504,
2001-10,3422,
2001-11,3632,
2001-12,3622,
2002-01,3944,
2002-02,3642,
2002-03,3872,
2002-04,3803,
2002-05,3823,
2002-06,3433,
2002-07,3281,
2002-08,3493,
2002-09,3326,
2002-10,3842,
2002-11,3863,
2002-12,3996,
2003-01,4511,
2003-02,5148,
2003-03,5564,
2003-04,5194,
2003-05,4779,
2003-06,4772,
2003-07,4690,
2003-08,4543,
2003-09,4665,
2003-10,4379,
2003-11,4088,
2003-12,4590,
2004-01,4276,
2004-02,4234,
2004-03,4086,
2004-04,3968,
2004-05,4026,
2004-06,3745,
2004-07,3588,
2004-08,3445,
2004-09,3945,
2004-10,3962,
2004-11,3627,
2004-12,3699,
2005-01,3801,
2005-02,4664,
2005-03,4800,
2005-04,4968,
2005-05,5142,
2005-06,4906,
2005-07,5434,
2005-08,5317,
2005-09,4998,
2005-10,5083,
2005-11,4698,
2005-12,4451,
2006-01,4793,
2006-02,5197,
2006-03,4932,
2006-04,5042,
2006-05,4083,
2006-06,3912,
2006-07,3728,
2006-08,3636,
2006-09,3334,
2006-10,3028,
2006-11,2632,
2006-12,2898,
2007-01,2999,
2007-02,2866,
2007-03,2736,
2007-04,2813,
2007-05,2438,
2007-06,2865,
2007-07,2399,
2007-08,2868,
2007-09,3156,
2007-10,3690,
2007-11,3178,
2007-12,2919,
2008-01,3173,
2008-02,3327,
2008-03,3155,
2008-04,3013,
2008-05,2802,
2008-06,2988,
2008-07,2806,
2008-08,2732,
2008-09,2805,
2008-10,3011,
2008-11,3185,
2008-12,3359,
2009-01,2771,
2009-02,2789,
2009-03,2153,
2009-04,2643,
2009-05,2132,
2009-06,2425,
2009-07,2293,
2009-08,2193,
2009-09,2368,
2009-10,2293,
2009-11,2144,
2009-12,1975,
2010-01,2136,
2010-02,2246,
2010-03,2120,
2010-04,2143,
2010-05,2062,
2010-06,1967,
2010-07,2468,
2010-08,2257,
2010-09,2159,
2010-10,1907,
2010-11,2117,
2010-12,2215,
2011-01,2192,
2011-02,2027,
2011-03,2112,
2011-04,2200,
2011-05,1880,
2011-06,1870,
2011-07,3820,
2011-08,3791,
2011-09,4404,
2011-10,5221,
2011-11,5236,
2011-12,5097,
2012-01,4774,
2012-02,4500,
2012-03,4315,
2012-04,4128,
2012-05,4192,
2012-06,4205,
2012-07,4213,
2012-08,4193,
2012-09,3431,
2012-10,3320,
2012-11,3237,
2012-12,3490,
2013-01,3192,
2013-02,3137,
2013-03,3030,
2013-04,3092,
2013-05,3181,
2013-06,3684,
2013-07,3386,
2013-08,3645,
2013-09,3226,
2013-10,3585,
2013-11,3770,
2013-12,3771,
2014-01,3717,
2014-02,3231,
2014-03,3051,
2014-04,2771,
2014-05,2482,
2014-06,2748,
2014-07,2988,
2014-08,2988,
2014-09,3204,
2014-10,3002,
2014-11,2401,
