"",BBK01.OEAD30M,BBK01.OEAD30M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:18,
2002-01,0.159,
2002-04,0.156,
2002-07,0.149,
2002-10,0.145,
2003-01,0.138,
2003-04,0.131,
2003-07,0.133,
2003-10,0.155,
2004-01,0.152,
2004-04,0.173,
2004-07,0.174,
2004-10,0.160,
2005-01,0.154,
2005-04,0.157,
2005-07,0.161,
2005-10,0.162,
2006-01,0.169,
2006-04,0.166,
2006-07,0.167,
2006-10,0.307,
2007-01,0.175,
2007-04,0.166,
2007-07,0.175,
2007-10,0.215,
2008-01,0.197,
2008-04,0.211,
2008-07,0.225,
2008-10,0.198,
2009-01,0.205,
2009-04,0.198,
2009-07,0.196,
2009-10,0.190,
2010-01,0.208,
2010-04,0.185,
2010-07,0.210,
2010-10,0.191,
2011-01,0.194,
2011-04,0.202,
2011-07,0.200,
2011-10,0.198,
2012-01,0.208,
2012-04,0.202,
2012-07,0.210,
2012-10,0.205,
2013-01,0.220,
2013-04,0.279,
2013-07,0.297,
2013-10,0.291,
2014-01,0.288,
2014-04,0.287,
2014-07,0.234,
