"",BBSF2.M.1.S.00000.GEF01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Mixed funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:06,
2009-09,9852,
2009-10,9500,
2009-11,9516,
2009-12,9981,
2010-01,9426,
2010-02,9100,
2010-03,9940,
2010-04,9572,
2010-05,8915,
2010-06,9069,
2010-07,9734,
2010-08,9561,
2010-09,9871,
2010-10,10324,
2010-11,9625,
2010-12,9956,
2011-01,10438,
2011-02,10563,
2011-03,10263,
2011-04,10475,
2011-05,9872,
2011-06,9666,
2011-07,8946,
2011-08,7859,
2011-09,7482,
2011-10,8296,
2011-11,7682,
2011-12,7670,
2012-01,7865,
2012-02,8095,
2012-03,7805,
2012-04,7634,
2012-05,7329,
2012-06,7782,
2012-07,7898,
2012-08,7541,
2012-09,7509,
2012-10,7713,
2012-11,7736,
2012-12,7749,
2013-01,8142,
2013-02,8095,
2013-03,7943,
2013-04,8327,
2013-05,8673,
2013-06,8041,
2013-07,9131,
2013-08,9180,
2013-09,9372,
2013-10,10045,
2013-11,9793,
2013-12,9399,
2014-01,9175,
2014-02,9923,
2014-03,10100,
2014-04,10402,
2014-05,10617,
2014-06,10600,
2014-07,10043,
2014-08,9130,
2014-09,9298,
2014-10,9361,
2014-11,9490,
