"",BBK01.OEAM10M,BBK01.OEAM10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:10,
2002-01,5.632,
2002-04,5.652,
2002-07,5.639,
2002-10,5.646,
2003-01,5.617,
2003-04,5.612,
2003-07,5.558,
2003-10,5.561,
2004-01,4.301,
2004-04,4.290,
2004-07,4.594,
2004-10,1.774,
2005-01,1.741,
2005-04,1.708,
2005-07,1.673,
2005-10,1.647,
2006-01,1.651,
2006-04,1.840,
2006-07,2.176,
2006-10,1.759,
2007-01,2.717,
2007-04,2.662,
2007-07,2.568,
2007-10,2.600,
2008-01,0.204,
2008-04,0.122,
2008-07,0.052,
2008-10,0.040,
2009-01,0.039,
2009-04,0.044,
2009-07,0.042,
2009-10,0.042,
2010-01,0.033,
2010-04,0.035,
2010-07,0.035,
2010-10,0.033,
2011-01,0.033,
2011-04,0.031,
2011-07,0.028,
2011-10,0.028,
2012-01,0.028,
2012-04,0.028,
2012-07,0.026,
2012-10,0.026,
2013-01,0.024,
2013-04,0.023,
2013-07,0.023,
2013-10,0.023,
2014-01,0.020,
2014-04,0.020,
2014-07,0.019,
