"",BBK01.OEAF25T,BBK01.OEAF25T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:10,
2002-01,0.289,
2002-04,0.283,
2002-07,0.283,
2002-10,0.306,
2003-01,0.301,
2003-04,0.305,
2003-07,0.299,
2003-10,0.300,
2004-01,0.290,
2004-04,0.289,
2004-07,0.284,
2004-10,0.276,
2005-01,0.279,
2005-04,0.265,
2005-07,0.261,
2005-10,0.255,
2006-01,0.250,
2006-04,0.259,
2006-07,0.261,
2006-10,0.269,
2007-01,0.273,
2007-04,0.277,
2007-07,0.277,
2007-10,0.271,
2008-01,0.270,
2008-04,0.270,
2008-07,0.266,
2008-10,0.263,
2009-01,0.267,
2009-04,0.265,
2009-07,0.250,
2009-10,0.249,
2010-01,0.247,
2010-04,0.260,
2010-07,0.259,
2010-10,0.253,
2011-01,0.258,
2011-04,0.255,
2011-07,0.252,
2011-10,0.238,
2012-01,0.235,
2012-04,0.234,
2012-07,0.261,
2012-10,0.259,
2013-01,0.258,
2013-04,0.262,
2013-07,0.276,
2013-10,0.274,
2014-01,0.278,
2014-04,0.281,
2014-07,0.285,
