"",BBEX3.M.SGD.USD.CA.AA.A01,BBEX3.M.SGD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Singapore / USD 1 = SGD ... (buying),
unit,SGD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:53,
1989-01,1.92500,
1989-02,1.92250,
1989-03,1.95250,
1989-04,1.94400,
1989-05,1.95200,
1989-06,1.95850,
1989-07,1.94800,
1989-08,1.96100,
1989-09,1.95600,
1989-10,1.94900,
1989-11,1.94300,
1989-12,1.89000,
1990-01,1.85800,
1990-02,1.85900,
1990-03,1.87750,
1990-04,1.86950,
1990-05,1.84200,
1990-06,1.83350,
1990-07,1.80500,
1990-08,1.75850,
1990-09,1.75400,
1990-10,1.70250,
1990-11,1.70650,
1990-12,1.72000,
1991-01,1.71950,
1991-02,1.71140,
1991-03,1.77800,
1991-04,1.75800,
1991-05,1.75300,
1991-06,1.75500,
1991-07,1.74100,
1991-08,1.71400,
1991-09,1.68200,
1991-10,1.68200,
1991-11,1.64980,
1991-12,1.61600,
1992-01,1.62300,
1992-02,1.63100,
1992-03,1.64900,
1992-04,1.64700,
1992-05,1.62400,
1992-06,1.60950,
1992-07,1.60550,
1992-08,1.59100,
1992-09,1.58400,
1992-10,1.60900,
1992-11,1.62900,
1992-12,1.63250,
1993-01,1.63000,
1993-02,1.63550,
1993-03,1.63550,
1993-04,1.60650,
1993-05,1.60100,
1993-06,1.61550,
1993-07,1.61250,
1993-08,1.60100,
1993-09,1.58300,
1993-10,1.57850,
1993-11,1.59250,
1993-12,1.59950,
1994-01,1.58900,
1994-02,1.57500,
1994-03,1.56200,
1994-04,1.54700,
1994-05,1.52700,
1994-06,1.51700,
1994-07,1.50450,
1994-08,1.49350,
1994-09,1.47500,
1994-10,1.46400,
1994-11,1.45600,
1994-12,1.45600,
1995-01,1.44350,
1995-02,1.44300,
1995-03,1.41150,
1995-04,1.38550,
1995-05,1.38250,
1995-06,1.38950,
1995-07,1.38700,
1995-08,1.41800,
1995-09,1.41450,
1995-10,1.41000,
1995-11,1.40550,
1995-12,1.40550,
1996-01,1.41350,
1996-02,1.40600,
1996-03,1.40050,
1996-04,1.39950,
1996-05,1.40350,
1996-06,1.40450,
1996-07,1.40800,
1996-08,1.40100,
1996-09,1.40100,
1996-10,1.40250,
1996-11,1.39600,
1996-12,1.39350,
1997-01,1.40050,
1997-02,1.41800,
1997-03,1.43750,
1997-04,1.44000,
1997-05,1.42300,
1997-06,1.42300,
1997-07,1.45900,
1997-08,1.52600,
1997-09,1.51600,
1997-10,1.58050,
1997-11,1.58300,
1997-12,1.66700,
1998-01,1.73350,
1998-02,1.59100,
1998-03,1.58550,
1998-04,1.56550,
1998-05,1.65800,
1998-06,1.68650,
1998-07,1.70250,
1998-08,1.75590,
1998-09,1.67400,
1998-10,1.60800,
1998-11,1.63750,
1998-12,1.64400,
1999-01,1.67500,
1999-02,1.70800,
1999-03,1.71800,
1999-04,1.68100,
1999-05,1.71600,
1999-06,1.69000,
1999-07,1.67650,
1999-08,1.67250,
1999-09,1.68950,
1999-10,1.65600,
1999-11,1.67300,
1999-12,1.65650,
2000-01,1.69300,
2000-02,1.70400,
2000-03,1.70900,
2000-04,1.69500,
2000-05,1.72000,
2000-06,1.71800,
2000-07,1.72400,
2000-08,1.71000,
2000-09,1.73000,
2000-10,1.74450,
2000-11,1.74900,
2000-12,1.72290,
2001-01,1.73400,
2001-02,1.73150,
2001-03,1.78950,
2001-04,1.80900,
2001-05,1.80000,
2001-06,1.81000,
2001-07,1.79400,
2001-08,1.73000,
2001-09,1.75500,
2001-10,1.81250,
2001-11,1.82150,
2001-12,1.83580,
2002-01,1.81880,
2002-02,1.82030,
2002-03,1.82730,
2002-04,1.79470,
2002-05,1.77050,
2002-06,1.75050,
2002-07,1.75130,
2002-08,1.73450,
2002-09,1.76370,
2002-10,1.75440,
2002-11,1.74740,
2002-12,1.72000,
2003-01,1.72390,
2003-02,1.72145,
2003-03,1.75105,
2003-04,1.75930,
2003-05,1.71400,
2003-06,1.74260,
2003-07,1.74300,
2003-08,1.74030,
2003-09,1.71475,
2003-10,1.72265,
2003-11,1.70990,
2003-12,1.68780,
2004-01,1.68540,
2004-02,1.68365,
2004-03,1.66550,
2004-04,1.68985,
2004-05,1.68355,
2004-06,1.70050,
2004-07,1.70460,
2004-08,1.69900,
2004-09,1.67555,
2004-10,1.64860,
2004-11,1.62670,
2004-12,1.62550,
2005-01,1.62230,
2005-02,1.61160,
2005-03,1.63325,
2005-04,1.62740,
2005-05,1.64595,
2005-06,1.67090,
2005-07,1.64670,
2005-08,1.67005,
2005-09,1.67470,
2005-10,1.67690,
2005-11,1.67880,
2005-12,1.64825,
2006-01,1.61040,
2006-02,1.60835,
2006-03,1.60310,
2006-04,1.56860,
2006-05,1.56295,
2006-06,1.57520,
2006-07,1.56520,
2006-08,1.55905,
2006-09,1.57260,
2006-10,1.54775,
2006-11,1.53045,
2006-12,1.52055,
"","General: Under an agreement between Singapore and Brunei Darussalam, the Brunei dollar (convertible at par) is also accepted as legal tender.",
"","Source: December 2001 - December 2006 Deutsche Bank, Singapore Branch 1997 - November 2001 BHF-Bank, Singapore Branch 1989 - 1996 The Hongkong and Shanghai Banking Corporation, Singapore",
