"",BBNZ1.Q.DE.S.G.0032.A,BBNZ1.Q.DE.S.G.0032.A_FLAGS
"",Germany / National accounts / Overall economy / Compensation of employees - residents / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:04,
1991-01,206.011,
1991-04,215.607,
1991-07,215.935,
1991-10,219.198,
1992-01,225.704,
1992-04,230.684,
1992-07,236.984,
1992-10,235.376,
1993-01,234.068,
1993-04,237.819,
1993-07,238.570,
1993-10,240.099,
1994-01,242.792,
1994-04,242.171,
1994-07,243.780,
1994-10,246.797,
1995-01,249.382,
1995-04,252.254,
1995-07,253.628,
1995-10,255.419,
1996-01,254.364,
1996-04,253.750,
1996-07,255.677,
1996-10,256.035,
1997-01,255.766,
1997-04,255.413,
1997-07,255.656,
1997-10,257.324,
1998-01,258.185,
1998-04,260.294,
1998-07,262.728,
1998-10,264.610,
1999-01,264.714,
1999-04,268.671,
1999-07,270.329,
1999-10,272.241,
2000-01,276.168,
2000-04,278.365,
2000-07,280.749,
2000-10,282.109,
2001-01,282.463,
2001-04,282.973,
2001-07,283.208,
2001-10,285.682,
2002-01,284.777,
2002-04,284.386,
2002-07,286.074,
2002-10,286.615,
2003-01,285.573,
2003-04,284.733,
2003-07,286.940,
2003-10,286.359,
2004-01,287.101,
2004-04,286.538,
2004-07,286.411,
2004-10,286.098,
2005-01,286.265,
2005-04,285.740,
2005-07,285.719,
2005-10,286.290,
2006-01,287.627,
2006-04,289.895,
2006-07,293.261,
2006-10,293.585,
2007-01,296.164,
2007-04,298.508,
2007-07,300.175,
2007-10,302.338,
2008-01,306.854,
2008-04,309.537,
2008-07,311.460,
2008-10,313.797,
2009-01,311.666,
2009-04,310.345,
2009-07,311.786,
2009-10,312.874,
2010-01,316.680,
2010-04,319.205,
2010-07,322.469,
2010-10,325.452,
2011-01,330.526,
2011-04,334.119,
2011-07,335.820,
2011-10,338.203,
2012-01,342.614,
2012-04,346.948,
2012-07,348.676,
2012-10,351.443,
2013-01,352.535,
2013-04,355.511,
2013-07,358.586,
2013-10,361.686,
2014-01,365.788,
2014-04,368.574,
2014-07,371.685,
2014-10,375.027,
