"",BBDE1.M.DE.Y.AEA1.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2P320000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:05,
1991-01,70.4,
1991-02,65.6,
1991-03,68.5,
1991-04,65.3,
1991-05,65.6,
1991-06,66.7,
1991-07,65.2,
1991-08,71.8,
1991-09,65.3,
1991-10,66.3,
1991-11,67.9,
1991-12,69.4,
1992-01,67.3,
1992-02,68.8,
1992-03,67.3,
1992-04,65.4,
1992-05,62.7,
1992-06,60.9,
1992-07,60.0,
1992-08,60.6,
1992-09,62.2,
1992-10,56.6,
1992-11,57.2,
1992-12,60.6,
1993-01,57.2,
1993-02,55.0,
1993-03,53.7,
1993-04,53.5,
1993-05,56.2,
1993-06,54.5,
1993-07,55.3,
1993-08,54.6,
1993-09,59.2,
1993-10,58.0,
1993-11,57.3,
1993-12,60.0,
1994-01,54.1,
1994-02,57.2,
1994-03,60.3,
1994-04,59.6,
1994-05,58.1,
1994-06,60.8,
1994-07,60.4,
1994-08,58.6,
1994-09,61.3,
1994-10,62.8,
1994-11,63.4,
1994-12,64.7,
1995-01,59.9,
1995-02,61.6,
1995-03,62.3,
1995-04,60.2,
1995-05,64.1,
1995-06,59.9,
1995-07,64.4,
1995-08,60.0,
1995-09,62.5,
1995-10,59.6,
1995-11,63.8,
1995-12,62.9,
1996-01,60.2,
1996-02,60.3,
1996-03,63.3,
1996-04,62.8,
1996-05,62.4,
1996-06,64.5,
1996-07,63.7,
1996-08,63.5,
1996-09,62.3,
1996-10,64.6,
1996-11,63.6,
1996-12,62.7,
1997-01,64.3,
1997-02,63.0,
1997-03,66.6,
1997-04,68.1,
1997-05,66.2,
1997-06,66.7,
1997-07,66.7,
1997-08,68.0,
1997-09,70.1,
1997-10,68.7,
1997-11,68.1,
1997-12,69.4,
1998-01,72.1,
1998-02,71.5,
1998-03,73.9,
1998-04,73.9,
1998-05,72.2,
1998-06,71.8,
1998-07,73.7,
1998-08,69.7,
1998-09,74.0,
1998-10,70.8,
1998-11,69.4,
1998-12,72.6,
1999-01,69.9,
1999-02,71.0,
1999-03,70.3,
1999-04,71.6,
1999-05,70.7,
1999-06,75.0,
1999-07,73.8,
1999-08,78.9,
1999-09,77.2,
1999-10,77.4,
1999-11,77.7,
1999-12,77.6,
2000-01,75.9,
2000-02,81.3,
2000-03,82.8,
2000-04,84.8,
2000-05,83.9,
2000-06,86.9,
2000-07,86.7,
2000-08,85.4,
2000-09,85.4,
2000-10,87.5,
2000-11,88.6,
2000-12,90.1,
2001-01,86.0,
2001-02,87.8,
2001-03,86.9,
2001-04,83.4,
2001-05,85.6,
2001-06,86.3,
2001-07,83.5,
2001-08,84.2,
2001-09,81.6,
2001-10,80.0,
2001-11,81.0,
2001-12,84.5,
2002-01,82.0,
2002-02,80.3,
2002-03,83.1,
2002-04,82.7,
2002-05,87.4,
2002-06,85.7,
2002-07,83.9,
2002-08,87.5,
2002-09,83.7,
2002-10,84.1,
2002-11,85.2,
2002-12,81.6,
2003-01,85.2,
2003-02,85.0,
2003-03,82.1,
2003-04,83.0,
2003-05,81.1,
2003-06,85.0,
2003-07,82.9,
2003-08,83.8,
2003-09,85.6,
2003-10,86.4,
2003-11,86.6,
2003-12,88.4,
2004-01,86.4,
2004-02,86.9,
2004-03,88.9,
2004-04,90.1,
2004-05,91.0,
2004-06,90.5,
2004-07,91.0,
2004-08,88.3,
2004-09,91.2,
2004-10,91.2,
2004-11,88.3,
2004-12,98.2,
2005-01,92.4,
2005-02,90.4,
2005-03,93.7,
2005-04,92.3,
2005-05,92.7,
2005-06,97.2,
2005-07,98.1,
2005-08,95.4,
2005-09,100.1,
2005-10,101.3,
2005-11,103.0,
2005-12,100.8,
2006-01,103.5,
2006-02,102.4,
2006-03,101.7,
2006-04,104.2,
2006-05,104.7,
2006-06,101.2,
2006-07,106.2,
2006-08,111.2,
2006-09,108.2,
2006-10,106.2,
2006-11,105.9,
2006-12,108.2,
2007-01,110.5,
2007-02,115.8,
2007-03,113.4,
2007-04,113.4,
2007-05,117.8,
2007-06,123.2,
2007-07,116.0,
2007-08,116.2,
2007-09,115.1,
2007-10,123.3,
2007-11,123.7,
2007-12,122.9,
2008-01,120.6,
2008-02,121.9,
2008-03,117.9,
2008-04,119.9,
2008-05,114.5,
2008-06,108.7,
2008-07,108.2,
2008-08,111.3,
2008-09,101.7,
2008-10,93.2,
2008-11,86.7,
2008-12,80.5,
2009-01,73.9,
2009-02,72.9,
2009-03,77.2,
2009-04,73.8,
2009-05,77.4,
2009-06,79.7,
2009-07,84.2,
2009-08,83.6,
2009-09,86.7,
2009-10,82.4,
2009-11,86.4,
2009-12,85.4,
2010-01,88.9,
2010-02,88.1,
2010-03,93.7,
2010-04,96.5,
2010-05,98.3,
2010-06,101.9,
2010-07,99.5,
2010-08,105.1,
2010-09,102.3,
2010-10,102.7,
2010-11,111.8,
2010-12,106.0,
2011-01,109.8,
2011-02,112.8,
2011-03,106.2,
2011-04,110.1,
2011-05,115.4,
2011-06,117.0,
2011-07,109.8,
2011-08,109.8,
2011-09,105.2,
2011-10,109.3,
2011-11,104.3,
2011-12,107.4,
2012-01,103.0,
2012-02,104.7,
2012-03,110.2,
2012-04,106.4,
2012-05,107.5,
2012-06,105.5,
2012-07,106.2,
2012-08,104.6,
2012-09,102.9,
2012-10,108.7,
2012-11,103.6,
2012-12,106.5,
2013-01,105.1,
2013-02,108.0,
2013-03,109.6,
2013-04,106.5,
2013-05,106.1,
2013-06,115.9,
2013-07,109.7,
2013-08,110.8,
2013-09,114.9,
2013-10,111.5,
2013-11,113.6,
2013-12,115.4,
2014-01,113.9,
2014-02,114.5,
2014-03,111.2,
2014-04,115.3,
2014-05,115.1,
2014-06,109.2,
2014-07,119.3,
2014-08,111.4,
2014-09,113.1,
2014-10,116.9,
2014-11,113.5,
2014-12,120.0,Provisional value
