"",BBK01.OEAM01G,BBK01.OEAM01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:09,
2002-01,9.814,
2002-04,11.265,
2002-07,10.987,
2002-10,11.452,
2003-01,10.678,
2003-04,11.656,
2003-07,9.889,
2003-10,10.544,
2004-01,9.307,
2004-04,11.089,
2004-07,10.592,
2004-10,9.564,
2005-01,9.405,
2005-04,10.056,
2005-07,9.197,
2005-10,9.269,
2006-01,9.964,
2006-04,11.148,
2006-07,10.738,
2006-10,14.219,
2007-01,11.820,
2007-04,15.516,
2007-07,16.238,
2007-10,16.827,
2008-01,15.685,
2008-04,19.842,
2008-07,19.312,
2008-10,21.399,
2009-01,19.746,
2009-04,15.528,
2009-07,16.027,
2009-10,16.533,
2010-01,14.415,
2010-04,15.642,
2010-07,17.719,
2010-10,15.219,
2011-01,14.382,
2011-04,17.445,
2011-07,15.568,
2011-10,14.896,
2012-01,15.737,
2012-04,31.432,
2012-07,33.386,
2012-10,33.710,
2013-01,30.428,
2013-04,31.377,
2013-07,32.753,
2013-10,35.926,
2014-01,34.419,
2014-04,38.152,
2014-07,37.276,
