"",BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:50,
1991-01,-210.176,
1991-04,123.538,
1991-07,-168.019,
1991-10,-22.149,
1992-01,-130.067,
1992-04,-40.766,
1992-07,826.890,
1992-10,-501.063,
1993-01,59.717,
1993-04,-31.834,
1993-07,-49.430,
1993-10,164.686,
1994-01,-449.932,
1994-04,-106.641,
1994-07,-66.968,
1994-10,17.398,
1995-01,221.217,
1995-04,-145.153,
1995-07,-117.789,
1995-10,-73.962,
1996-01,-183.947,
1996-04,14.572,
1996-07,-25.913,
1996-10,-4.006,
1997-01,-18.706,
1997-04,-26.161,
1997-07,-24.857,
1997-10,206.069,
1998-01,155.596,
1998-04,39.095,
1998-07,35.493,
1998-10,116.568,
1999-01,-84.260,
1999-04,450.056,
1999-07,104.294,
1999-10,13.934,
2000-01,-122.239,
2000-04,-110.941,
2000-07,188.689,
2000-10,229.965,
2001-01,-100.380,
2001-04,139.105,
2001-07,182.175,
2001-10,20.146,
2002-01,90.313,
2002-04,64.510,
2002-07,64.138,
2002-10,-99.096,
2003-01,25.722,
2003-04,108.030,
2003-07,52.343,
2003-10,-87.865,
2004-01,1020.435,
2004-04,729.786,
2004-07,-692.511,
2004-10,287.059,
2005-01,1092.123,
2005-04,586.678,
2005-07,771.897,
2005-10,281.481,
2006-01,982.630,
2006-04,700.079,
2006-07,422.435,
2006-10,-498.479,
2007-01,938.861,
2007-04,477.070,
2007-07,106.726,
2007-10,-36.831,
2008-01,475.117,
2008-04,4187.895,
2008-07,145.226,
2008-10,-142.554,
2009-01,103.596,
2009-04,2740.734,
2009-07,-844.652,
2009-10,232.198,
2010-01,1268.251,
2010-04,440.007,
2010-07,-826.173,
2010-10,692.877,
2011-01,1885.684,
2011-04,-81.849,
2011-07,189.961,
2011-10,0.249,
2012-01,-1059.478,
2012-04,1197.777,
2012-07,336.667,
2012-10,692.362,
2013-01,136.132,
2013-04,-574.102,
2013-07,-103.553,
2013-10,303.808,
2014-01,1193.275,Provisional value
2014-04,202.305,Provisional value
2014-07,403.059,Provisional value
2014-10,-605.260,Provisional value
