"",BBEX3.M.PEN.USD.CA.AA.A01,BBEX3.M.PEN.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Peru / USD 1 = PEI / PEN  ... (buying) *,
unit,PEN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:03,
1991-01,0.530,
1991-02,0.540,
1991-03,0.550,
1991-04,0.690,
1991-05,0.805,
1991-06,0.825,
1991-07,0.795,
1991-08,0.770,
1991-09,0.820,
1991-10,0.945,
1991-11,1.015,
1991-12,0.940,
1992-01,0.960,
1992-02,0.950,
1992-03,0.945,
1992-04,1.040,
1992-05,1.115,
1992-06,1.170,
1992-07,1.220,
1992-08,1.270,
1992-09,1.450,
1992-10,1.570,
1992-11,1.590,
1992-12,1.600,
1993-01,1.695,
1993-02,1.770,
1993-03,1.845,
1993-04,1.925,
1993-05,1.955,
1993-06,2.010,
1993-07,2.020,
1993-08,2.070,
1993-09,2.120,
1993-10,2.140,
1993-11,2.160,
1993-12,2.130,
1994-01,2.150,
1994-02,2.150,
1994-03,2.165,
1994-04,2.170,
1994-05,2.170,
1994-06,2.178,
1994-07,2.190,
1994-08,2.235,
1994-09,2.235,
1994-10,2.195,
1994-11,2.150,
1994-12,2.145,
1995-01,2.160,
1995-02,2.215,
1995-03,2.240,
1995-04,2.225,
1995-05,2.225,
1995-06,2.215,
1995-07,2.210,
1995-08,2.220,
1995-09,2.225,
1995-10,2.245,
1995-11,2.290,
1995-12,2.280,
1996-01,2.340,
1996-02,2.340,
1996-03,2.330,
1996-04,2.350,
1996-05,2.390,
1996-06,2.415,
1996-07,2.430,
1996-08,2.435,
1996-09,2.480,
1996-10,2.540,
1996-11,2.560,
1996-12,2.565,
1997-01,2.630,
1997-02,2.620,
1997-03,2.610,
1997-04,2.630,
1997-05,2.635,
1997-06,2.620,
1997-07,2.630,
1997-08,2.620,
1997-09,2.620,
1997-10,2.660,
1997-11,2.670,
1997-12,2.685,
1998-01,2.730,
1998-02,2.770,
1998-03,2.760,
1998-04,2.780,
1998-05,2.820,
1998-06,2.900,
1998-07,2.890,
1998-08,2.970,
1998-09,3.010,
1998-10,3.030,
1998-11,3.085,
1998-12,3.115,
1999-01,3.300,
1999-02,3.380,
1999-03,3.275,
1999-04,3.285,
1999-05,3.275,
1999-06,3.285,
1999-07,3.290,
1999-08,3.330,
1999-09,3.410,
1999-10,3.435,
1999-11,3.440,
1999-12,3.455,
2000-01,3.435,
2000-02,3.395,
2000-03,3.435,
2000-04,3.430,
2000-05,3.450,
2000-06,3.435,
2000-07,3.420,
2000-08,3.425,
2000-09,3.460,
2000-10,3.455,
2000-11,3.480,
2000-12,3.470,
2001-01,3.480,
2001-02,3.470,
2001-03,3.470,
2001-04,3.535,
2001-05,3.580,
2001-06,3.455,
2001-07,3.440,
2001-08,3.435,
2001-09,3.435,
2001-10,3.390,
2001-11,3.385,
2001-12,3.390,
2002-01,3.425,
2002-02,3.420,
2002-03,3.400,
2002-04,3.385,
2002-05,3.410,
2002-06,3.460,
2002-07,3.525,
2002-08,3.555,
2002-09,3.600,
2002-10,3.550,
2002-11,3.460,
2002-12,3.465,
2003-01,3.435,
2003-02,3.430,
2003-03,3.472,
2003-04,3.461,
2003-05,3.494,
2003-06,3.469,
2003-07,3.472,
2003-08,3.479,
2003-09,3.482,
2003-10,3.472,
2003-11,3.479,
2003-12,3.461,
2004-01,3.498,
2004-02,3.472,
2004-03,3.459,
2004-04,3.482,
2004-05,3.486,
2004-06,3.470,
2004-07,3.419,
2004-08,3.355,
2004-09,3.341,
2004-10,3.322,
2004-11,3.304,
2004-12,3.280,
2005-01,3.261,
2005-02,3.255,
2005-03,3.259,
2005-04,3.256,
2005-05,3.252,
2005-06,3.252,
2005-07,3.253,
2005-08,3.283,
2005-09,3.342,
2005-10,3.376,
2005-11,3.408,
2005-12,3.429,
2006-01,3.310,
2006-02,3.290,
2006-03,3.356,
2006-04,3.310,
2006-05,3.296,
2006-06,3.259,
2006-07,3.237,
2006-08,3.240,
2006-09,3.249,
2006-10,3.214,
2006-11,3.221,
2006-12,3.194,
2007-01,3.198,
2007-02,3.189,
2007-03,3.182,
2007-04,3.171,
2007-05,3.174,
2007-06,3.167,
2007-07,3.160,
2007-08,3.162,
2007-09,3.085,
2007-10,2.997,
2007-11,2.998,
2007-12,2.995,
2008-01,2.933,
2008-02,2.886,
2008-03,2.743,
2008-04,2.848,
2008-05,2.841,
2008-06,2.965,
2008-07,2.814,
2008-08,2.951,
2008-09,2.975,
2008-10,3.086,
2008-11,3.094,
2008-12,3.137,
2009-01,3.173,
2009-02,3.249,
2009-03,3.160,
2009-04,2.992,
2009-05,2.994,
2009-06,3.009,
2009-07,2.985,
2009-08,2.945,
2009-09,2.883,
2009-10,2.902,
2009-11,2.879,
2009-12,2.888,
2010-01,2.855,
2010-02,2.846,
2010-03,2.840,
2010-04,2.847,
2010-05,2.843,
2010-06,2.825,
2010-07,2.822,
2010-08,2.796,
2010-09,2.787,
2010-10,2.796,
2010-11,2.831,
2010-12,2.808,
2011-01,2.771,
2011-02,2.774,
2011-03,2.802,
2011-04,2.820,
2011-05,2.767,
2011-06,2.748,
2011-07,2.737,
2011-08,2.725,
2011-09,2.772,
2011-10,2.706,
2011-11,2.699,
2011-12,2.695,
