"",BBFN1.M.DE.N.1.L.U3.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U3.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:43,
1995-01,12.832,
1995-02,12.267,
1995-03,13.501,
1995-04,12.684,
1995-05,12.851,
1995-06,12.634,
1995-07,12.806,
1995-08,12.508,
1995-09,12.370,
1995-10,12.668,
1995-11,12.500,
1995-12,11.721,
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,16.623,
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,14.261,
1996-10,15.138,
1996-11,13.853,
1996-12,13.462,
1997-01,14.926,
1997-02,15.550,
1997-03,.,No value available
1997-04,17.113,
1997-05,16.222,
1997-06,17.600,
1997-07,18.589,
1997-08,15.891,
1997-09,15.265,
1997-10,17.480,
1997-11,15.704,
1997-12,15.891,
1998-01,14.072,
1998-02,14.349,
1998-03,16.175,
1998-04,21.643,
1998-05,21.945,
1998-06,20.210,
1998-07,18.350,
1998-08,18.547,
1998-09,16.338,
1998-10,19.170,
1998-11,19.163,
1998-12,17.865,
1999-01,16.864,
1999-02,16.561,
1999-03,19.264,
1999-04,19.547,
1999-05,19.787,
1999-06,21.346,
1999-07,21.122,
1999-08,22.026,
1999-09,22.508,
1999-10,23.465,
1999-11,25.101,
1999-12,23.916,
2000-01,26.309,
2000-02,33.241,
2000-03,32.827,
2000-04,37.578,
2000-05,48.302,
2000-06,50.284,
2000-07,42.522,
2000-08,47.541,
2000-09,54.823,
2000-10,59.707,
2000-11,54.613,
2000-12,47.976,
2001-01,53.989,
2001-02,57.443,
2001-03,48.198,
2001-04,49.617,
2001-05,43.938,
2001-06,40.027,
2001-07,44.318,
2001-08,47.698,
2001-09,45.077,
2001-10,47.487,
2001-11,41.269,
2001-12,42.731,
2002-01,43.157,
2002-02,45.828,
2002-03,47.094,
2002-04,48.302,
2002-05,41.229,
2002-06,37.398,
2002-07,33.596,
2002-08,32.915,
2002-09,34.455,
2002-10,34.248,
2002-11,32.050,
2002-12,30.776,
2003-01,37.536,
2003-02,36.817,
2003-03,40.002,
2003-04,43.281,
2003-05,41.798,
2003-06,42.096,
2003-07,43.503,
2003-08,43.568,
2003-09,42.194,
2003-10,31.246,
2003-11,31.323,
2003-12,35.882,
2004-01,34.219,
2004-02,44.484,
2004-03,28.550,
2004-04,28.379,
2004-05,31.022,
2004-06,29.977,
2004-07,29.305,
2004-08,29.876,
2004-09,29.950,
2004-10,29.961,
2004-11,28.387,
2004-12,30.161,
2005-01,27.438,
2005-02,27.569,
2005-03,26.199,
2005-04,21.492,
2005-05,22.104,
2005-06,21.638,
2005-07,23.037,
2005-08,25.581,
2005-09,26.834,
2005-10,26.478,
2005-11,26.621,
2005-12,29.200,
2006-01,34.478,
2006-02,38.606,
2006-03,39.863,
2006-04,40.313,
2006-05,39.013,
2006-06,41.691,
2006-07,40.292,
2006-08,38.223,
2006-09,47.202,
2006-10,46.139,
2006-11,47.629,
2006-12,44.107,
2007-01,41.396,
2007-02,46.561,
2007-03,45.107,
2007-04,45.576,
2007-05,48.482,
2007-06,45.226,
2007-07,45.356,
2007-08,42.189,
2007-09,50.120,
2007-10,45.917,
2007-11,42.816,
2007-12,53.659,
2008-01,50.226,
2008-02,46.434,
2008-03,51.943,
2008-04,43.041,
2008-05,47.974,
2008-06,47.868,
2008-07,43.691,
2008-08,44.383,
2008-09,47.118,
2008-10,54.092,
2008-11,51.775,
2008-12,49.219,
2009-01,50.231,
2009-02,45.727,
2009-03,45.108,
2009-04,47.689,
2009-05,43.964,
2009-06,41.232,
2009-07,38.880,
2009-08,39.020,
2009-09,37.466,
2009-10,38.458,
2009-11,38.584,
2009-12,39.314,
2010-01,37.506,
2010-02,38.153,
2010-03,40.014,
2010-04,41.517,
2010-05,44.294,
2010-06,42.995,
2010-07,48.399,
2010-08,47.086,
2010-09,48.988,
2010-10,51.215,
2010-11,49.795,
2010-12,47.125,
2011-01,51.674,
2011-02,46.276,
2011-03,47.797,
2011-04,51.093,
2011-05,50.230,
2011-06,51.338,
2011-07,47.684,
2011-08,53.499,
2011-09,56.979,
2011-10,53.860,
2011-11,56.290,
2011-12,61.853,
2012-01,55.445,
2012-02,53.433,
2012-03,66.088,
2012-04,66.971,
2012-05,66.983,
2012-06,72.456,
2012-07,75.085,
2012-08,70.199,
2012-09,66.589,
2012-10,64.052,
2012-11,63.966,
2012-12,60.000,
2013-01,64.308,
2013-02,66.799,
2013-03,62.010,
2013-04,67.089,
2013-05,60.690,
2013-06,62.894,
2013-07,60.374,
2013-08,53.443,
2013-09,54.353,
2013-10,46.587,
2013-11,48.500,
2013-12,49.036,
2014-01,50.091,
2014-02,48.555,
2014-03,52.774,
2014-04,50.980,
2014-05,52.479,
2014-06,47.504,
2014-07,47.244,
2014-08,50.902,
2014-09,50.628,
2014-10,51.680,
2014-11,50.344,
2014-12,50.525,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
