"",BBK01.OEYB04O,BBK01.OEYB04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:39,
2002-01,36.859,
2002-04,37.549,
2002-07,38.492,
2002-10,38.791,
2003-01,38.469,
2003-04,38.263,
2003-07,33.738,
2003-10,37.147,
2004-01,37.068,
2004-04,38.054,
2004-07,38.420,
2004-10,39.936,
2005-01,39.688,
2005-04,39.977,
2005-07,40.157,
2005-10,40.266,
2006-01,40.008,
2006-04,40.207,
2006-07,40.135,
2006-10,40.284,
2007-01,39.781,
2007-04,39.836,
2007-07,39.413,
2007-10,39.400,
2008-01,38.842,
2008-04,38.845,
2008-07,33.450,
2008-10,31.571,
2009-01,30.658,
2009-04,30.175,
2009-07,30.311,
2009-10,32.321,
2010-01,32.187,
2010-04,30.728,
2010-07,30.246,
2010-10,29.927,
2011-01,29.404,
2011-04,29.281,
2011-07,29.733,
2011-10,29.323,
2012-01,28.511,
2012-04,28.924,
2012-07,27.979,
2012-10,28.330,
2013-01,27.634,
2013-04,26.876,
2013-07,31.580,
2013-10,32.177,
2014-01,32.298,
2014-04,30.948,
2014-07,30.410,
