"",BBK01.OEAC37K,BBK01.OEAC37K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:38,
2002-01,1.364,
2002-04,1.402,
2002-07,1.481,
2002-10,1.734,
2003-01,2.308,
2003-04,3.085,
2003-07,3.714,
2003-10,3.855,
2004-01,4.307,
2004-04,4.872,
2004-07,4.916,
2004-10,4.497,
2005-01,4.194,
2005-04,3.999,
2005-07,3.863,
2005-10,3.634,
2006-01,3.498,
2006-04,2.888,
2006-07,2.788,
2006-10,2.771,
2007-01,2.491,
2007-04,2.901,
2007-07,3.228,
2007-10,3.307,
2008-01,3.249,
2008-04,3.352,
2008-07,4.398,
2008-10,4.619,
2009-01,4.620,
2009-04,4.509,
2009-07,4.153,
2009-10,2.465,
2010-01,3.200,
2010-04,2.886,
2010-07,2.783,
2010-10,2.822,
2011-01,2.101,
2011-04,2.036,
2011-07,2.396,
2011-10,2.434,
2012-01,2.095,
2012-04,2.062,
2012-07,1.930,
2012-10,1.468,
2013-01,1.682,
2013-04,1.618,
2013-07,1.511,
2013-10,1.113,
2014-01,0.954,
2014-04,1.057,
2014-07,1.112,
