"",BBK01.OEXM05N,BBK01.OEXM05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:56,
2002-01,0.450,
2002-04,0.445,
2002-07,0.419,
2002-10,0.441,
2003-01,0.417,
2003-04,0.418,
2003-07,0.418,
2003-10,0.426,
2004-01,0.456,
2004-04,0.431,
2004-07,0.071,
2004-10,0.054,
2005-01,0.054,
2005-04,0.057,
2005-07,0.058,
2005-10,0.059,
2006-01,0.062,
2006-04,0.087,
2006-07,0.068,
2006-10,0.066,
2007-01,0.067,
2007-04,0.068,
2007-07,0.077,
2007-10,0.087,
2008-01,0.087,
2008-04,0.279,
2008-07,0.278,
2008-10,0.283,
2009-01,0.373,
2009-04,0.158,
2009-07,0.171,
2009-10,0.191,
2010-01,0.180,
2010-04,0.225,
2010-07,0.481,
2010-10,0.532,
2011-01,0.571,
2011-04,0.612,
2011-07,0.595,
2011-10,0.608,
2012-01,0.653,
2012-04,0.683,
2012-07,0.739,
2012-10,1.904,
2013-01,1.661,
2013-04,1.433,
2013-07,1.221,
2013-10,1.120,
2014-01,1.022,
2014-04,0.974,
2014-07,0.370,
