"",BBK01.OEHB06T,BBK01.OEHB06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:21,
2002-01,0.855,
2002-04,0.867,
2002-07,0.907,
2002-10,0.832,
2003-01,0.846,
2003-04,0.863,
2003-07,0.904,
2003-10,0.902,
2004-01,0.860,
2004-04,0.921,
2004-07,0.966,
2004-10,0.898,
2005-01,0.895,
2005-04,0.925,
2005-07,0.897,
2005-10,0.889,
2006-01,0.902,
2006-04,0.960,
2006-07,1.056,
2006-10,1.029,
2007-01,1.130,
2007-04,1.169,
2007-07,1.148,
2007-10,1.244,
2008-01,1.099,
2008-04,1.044,
2008-07,0.995,
2008-10,1.161,
2009-01,0.863,
2009-04,0.811,
2009-07,0.733,
2009-10,0.773,
2010-01,0.756,
2010-04,0.683,
2010-07,0.712,
2010-10,0.660,
2011-01,0.680,
2011-04,0.658,
2011-07,0.664,
2011-10,0.639,
2012-01,0.706,
2012-04,0.657,
2012-07,0.646,
2012-10,0.633,
2013-01,0.626,
2013-04,0.624,
2013-07,0.687,
2013-10,0.645,
2014-01,0.725,
2014-04,0.762,
2014-07,0.782,
