"",BBK01.OEBI08R,BBK01.OEBI08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:03,
2002-01,0.558,
2002-04,0.491,
2002-07,0.476,
2002-10,0.513,
2003-01,0.536,
2003-04,0.533,
2003-07,0.550,
2003-10,0.549,
2004-01,0.531,
2004-04,0.519,
2004-07,0.540,
2004-10,0.557,
2005-01,1.127,
2005-04,1.125,
2005-07,1.131,
2005-10,1.145,
2006-01,1.140,
2006-04,1.110,
2006-07,1.086,
2006-10,1.075,
2007-01,1.075,
2007-04,1.059,
2007-07,1.048,
2007-10,1.068,
2008-01,1.070,
2008-04,1.083,
2008-07,1.065,
2008-10,1.039,
2009-01,1.062,
2009-04,1.073,
2009-07,1.127,
2009-10,1.190,
2010-01,1.232,
2010-04,1.229,
2010-07,1.237,
2010-10,1.243,
2011-01,1.234,
2011-04,1.210,
2011-07,1.184,
2011-10,1.201,
2012-01,1.267,
2012-04,1.252,
2012-07,1.268,
2012-10,1.315,
2013-01,1.318,
2013-04,1.309,
2013-07,1.314,
2013-10,1.326,
2014-01,1.319,
2014-04,1.304,
2014-07,1.315,
