"",BBK01.OEHB03K,BBK01.OEHB03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:37,
2002-01,1.766,
2002-04,1.619,
2002-07,1.554,
2002-10,1.476,
2003-01,1.353,
2003-04,1.334,
2003-07,1.236,
2003-10,1.193,
2004-01,1.142,
2004-04,1.183,
2004-07,1.148,
2004-10,1.210,
2005-01,1.177,
2005-04,1.144,
2005-07,1.151,
2005-10,1.143,
2006-01,1.095,
2006-04,1.063,
2006-07,1.032,
2006-10,1.035,
2007-01,0.905,
2007-04,0.942,
2007-07,1.004,
2007-10,1.062,
2008-01,1.104,
2008-04,1.155,
2008-07,1.267,
2008-10,1.306,
2009-01,1.428,
2009-04,1.539,
2009-07,1.706,
2009-10,1.769,
2010-01,1.902,
2010-04,1.846,
2010-07,1.920,
2010-10,1.932,
2011-01,2.001,
2011-04,2.025,
2011-07,2.112,
2011-10,2.135,
2012-01,2.107,
2012-04,2.175,
2012-07,2.320,
2012-10,2.301,
2013-01,2.323,
2013-04,2.319,
2013-07,2.566,
2013-10,2.577,
2014-01,2.532,
2014-04,2.430,
2014-07,2.439,
