"",BBK01.OELL09K,BBK01.OELL09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:34,
2002-01,0.209,
2002-04,0.203,
2002-07,0.203,
2002-10,0.193,
2003-01,0.160,
2003-04,0.178,
2003-07,0.176,
2003-10,0.238,
2004-01,0.284,
2004-04,0.283,
2004-07,0.292,
2004-10,0.243,
2005-01,0.224,
2005-04,0.227,
2005-07,0.257,
2005-10,0.286,
2006-01,0.277,
2006-04,0.282,
2006-07,0.249,
2006-10,0.226,
2007-01,0.200,
2007-04,0.174,
2007-07,0.178,
2007-10,0.181,
2008-01,0.165,
2008-04,0.153,
2008-07,0.102,
2008-10,0.096,
2009-01,0.145,
2009-04,0.211,
2009-07,0.251,
2009-10,0.260,
2010-01,0.229,
2010-04,0.272,
2010-07,0.275,
2010-10,0.269,
2011-01,0.268,
2011-04,0.267,
2011-07,0.275,
2011-10,0.267,
2012-01,0.275,
2012-04,0.266,
2012-07,0.236,
2012-10,0.221,
2013-01,0.199,
2013-04,0.094,
2013-07,0.096,
2013-10,0.103,
2014-01,0.147,
2014-04,0.166,
2014-07,0.165,
