"",BBK01.OEAF13N,BBK01.OEAF13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:43,
2002-01,0.766,
2002-04,0.770,
2002-07,0.804,
2002-10,0.880,
2003-01,0.852,
2003-04,0.984,
2003-07,1.001,
2003-10,1.011,
2004-01,0.896,
2004-04,0.920,
2004-07,0.905,
2004-10,0.917,
2005-01,0.907,
2005-04,0.837,
2005-07,0.783,
2005-10,0.794,
2006-01,0.733,
2006-04,0.756,
2006-07,0.826,
2006-10,0.751,
2007-01,0.772,
2007-04,0.814,
2007-07,0.690,
2007-10,0.653,
2008-01,0.625,
2008-04,0.659,
2008-07,0.603,
2008-10,0.627,
2009-01,0.677,
2009-04,0.635,
2009-07,0.632,
2009-10,0.642,
2010-01,0.614,
2010-04,0.619,
2010-07,0.700,
2010-10,0.663,
2011-01,0.656,
2011-04,0.652,
2011-07,0.653,
2011-10,0.635,
2012-01,0.607,
2012-04,0.624,
2012-07,0.659,
2012-10,0.707,
2013-01,0.655,
2013-04,0.674,
2013-07,0.688,
2013-10,0.705,
2014-01,0.704,
2014-04,0.698,
2014-07,0.708,
