"",BBQFS.M.DE.CORP.EST_PE_DAX._X.0000,BBQFS.M.DE.CORP.EST_PE_DAX._X.0000_FLAGS
"",Expected price-to-earnings ratio DAX price index (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:22,
2005-03,12.65,
2005-04,11.65,
2005-05,11.93,
2005-06,12.71,
2005-07,13.73,
2005-08,12.53,
2005-09,13.19,
2005-10,13.05,
2005-11,13.46,
2005-12,13.91,
2006-01,13.45,
2006-02,13.66,
2006-03,13.83,
2006-04,13.86,
2006-05,12.90,
2006-06,12.83,
2006-07,12.82,
2006-08,13.10,
2006-09,13.47,
2006-10,13.45,
2006-11,13.33,
2006-12,14.01,
2007-01,13.52,
2007-02,13.27,
2007-03,13.40,
2007-04,14.13,
2007-05,14.33,
2007-06,14.41,
2007-07,13.49,
2007-08,13.33,
2007-09,13.67,
2007-10,13.60,
2007-11,13.21,
2007-12,13.50,
2008-01,10.86,
2008-02,10.90,
2008-03,10.84,
2008-04,11.69,
2008-05,11.94,
2008-06,10.94,
2008-07,11.47,
2008-08,11.92,
2008-09,10.95,
2008-10,10.22,
2008-11,10.48,
2008-12,10.75,
2009-01,9.57,
2009-02,9.28,
2009-03,10.63,
2009-04,13.11,
2009-05,14.08,
2009-06,14.02,
2009-07,15.76,
2009-08,16.12,
2009-09,17.16,
2009-10,15.22,
2009-11,15.74,
2009-12,16.70,
2010-01,12.08,
2010-02,12.03,
2010-03,13.23,
2010-04,12.56,
2010-05,11.65,
2010-06,11.51,
2010-07,11.36,
2010-08,10.61,
2010-09,11.25,
2010-10,11.23,
2010-11,11.07,
2010-12,11.53,
2011-01,10.96,
2011-02,11.17,
2011-03,10.98,
2011-04,11.65,
2011-05,10.95,
2011-06,11.05,
2011-07,10.73,
2011-08,8.83,
2011-09,8.56,
2011-10,9.87,
2011-11,10.11,
2011-12,9.83,
2012-01,10.03,
2012-02,10.68,
2012-03,10.84,
2012-04,10.37,
2012-05,9.51,
2012-06,9.80,
2012-07,10.11,
2012-08,10.53,
2012-09,10.87,
2012-10,10.65,
2012-11,10.88,
2012-12,11.28,
2013-01,11.41,
2013-02,11.46,
2013-03,11.62,
2013-04,11.77,
2013-05,12.28,
2013-06,11.70,
2013-07,12.23,
2013-08,12.18,
2013-09,12.97,
2013-10,13.30,
2013-11,13.82,
2013-12,14.06,
2014-01,12.88,
2014-02,13.46,
2014-03,13.38,
2014-04,13.49,
2014-05,13.84,
2014-06,13.80,
2014-07,13.31,
2014-08,13.37,
2014-09,13.40,
2014-10,13.02,
"",Source: Bloomberg,
"",Methodology: Based on consensus estimates of earnings per share for the next four quarters.,
