"",BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:09,
1991-01,15.611,
1991-04,94.115,
1991-07,-93.342,
1991-10,-22.340,
1992-01,5.098,
1992-04,-118.735,
1992-07,-0.064,
1992-10,-26.105,
1993-01,72.602,
1993-04,24.357,
1993-07,-15.239,
1993-10,-92.693,
1994-01,-69.846,
1994-04,-59.213,
1994-07,3.551,
1994-10,167.404,
1995-01,-71.446,
1995-04,-116.383,
1995-07,-1.194,
1995-10,-42.130,
1996-01,110.150,
1996-04,34.449,
1996-07,74.037,
1996-10,50.950,
1997-01,-19.539,
1997-04,130.591,
1997-07,-1.487,
1997-10,58.703,
1998-01,97.549,
1998-04,57.326,
1998-07,-44.315,
1998-10,-21.568,
1999-01,-126.422,
1999-04,154.520,
1999-07,79.077,
1999-10,-31.664,
2000-01,-17.238,
2000-04,-33.103,
2000-07,-43.782,
2000-10,34.534,
2001-01,47.164,
2001-04,2.694,
2001-07,164.440,
2001-10,18.804,
2002-01,65.847,
2002-04,78.558,
2002-07,-72.446,
2002-10,245.898,
2003-01,-69.000,
2003-04,-155.000,
2003-07,-62.000,
2003-10,101.843,
2004-01,-34.970,
2004-04,171.846,
2004-07,-39.374,
2004-10,-15.985,
2005-01,167.000,
2005-04,362.323,
2005-07,-366.044,
2005-10,-9.505,
2006-01,254.850,
2006-04,-142.394,
2006-07,-72.955,
2006-10,160.115,
2007-01,-132.827,
2007-04,99.081,
2007-07,352.989,
2007-10,392.575,
2008-01,229.825,
2008-04,-18.060,
2008-07,40.865,
2008-10,-26.877,
2009-01,1.927,
2009-04,310.971,
2009-07,-133.976,
2009-10,7.685,
2010-01,207.112,
2010-04,134.998,
2010-07,-239.080,
2010-10,89.311,
2011-01,64.624,
2011-04,299.099,
2011-07,66.159,
2011-10,149.201,
2012-01,-44.448,
2012-04,-45.987,
2012-07,-9.039,
2012-10,-145.544,
2013-01,-94.416,
2013-04,-600.158,
2013-07,-418.118,
2013-10,-55.210,
2014-01,72.100,Provisional value
2014-04,-255.784,Provisional value
2014-07,-570.318,Provisional value
2014-10,-163.932,Provisional value
