"",BBK01.OEBB01I,BBK01.OEBB01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:48,
2002-01,39.713,
2002-04,37.912,
2002-07,37.782,
2002-10,37.200,
2003-01,35.921,
2003-04,36.467,
2003-07,32.315,
2003-10,29.819,
2004-01,30.212,
2004-04,29.509,
2004-07,29.652,
2004-10,29.097,
2005-01,32.624,
2005-04,32.601,
2005-07,33.054,
2005-10,32.248,
2006-01,32.642,
2006-04,32.789,
2006-07,29.787,
2006-10,32.466,
2007-01,33.550,
2007-04,34.633,
2007-07,35.514,
2007-10,36.306,
2008-01,37.662,
2008-04,41.512,
2008-07,44.015,
2008-10,46.242,
2009-01,46.938,
2009-04,49.945,
2009-07,49.859,
2009-10,50.148,
2010-01,50.176,
2010-04,50.226,
2010-07,51.933,
2010-10,51.911,
2011-01,51.396,
2011-04,50.949,
2011-07,51.053,
2011-10,53.928,
2012-01,54.377,
2012-04,51.502,
2012-07,51.725,
2012-10,51.460,
2013-01,51.337,
2013-04,52.610,
2013-07,52.969,
2013-10,53.823,
2014-01,53.444,
2014-04,53.175,
2014-07,53.001,
