"",BBEX3.M.PYG.USD.CA.AB.A01,BBEX3.M.PYG.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Paraguay / USD 1 = PYG ... (selling),
unit,PYG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:19,
1990-01,1282.00,
1990-02,1246.00,
1990-03,1215.00,
1990-04,1231.00,
1990-05,1250.00,
1990-06,1200.00,
1990-07,1200.00,
1990-08,1197.00,
1990-09,1211.00,
1990-10,1202.00,
1990-11,1233.00,
1990-12,1254.00,
1991-01,1324.00,
1991-02,1320.00,
1991-03,1310.00,
1991-04,1333.00,
1991-05,1326.00,
1991-06,1327.00,
1991-07,1315.00,
1991-08,1318.00,
1991-09,1312.00,
1991-10,1311.00,
1991-11,1338.00,
1991-12,1375.00,
1992-01,1426.00,
1992-02,1456.00,
1992-03,1449.00,
1992-04,1449.00,
1992-05,1459.00,
1992-06,1488.00,
1992-07,1491.00,
1992-08,1521.00,
1992-09,1553.00,
1992-10,1561.00,
1992-11,1610.00,
1992-12,1629.00,
1993-01,1641.00,
1993-02,1661.00,
1993-03,1715.00,
1993-04,1722.00,
1993-05,1735.00,
1993-06,1742.00,
1993-07,1751.00,
1993-08,1760.00,
1993-09,1789.00,
1993-10,1802.00,
1993-11,1812.00,
1993-12,1845.00,
1994-01,1871.00,
1994-02,1894.00,
1994-03,1911.00,
1994-04,1910.00,
1994-05,1914.00,
1994-06,1911.00,
1994-07,1915.00,
1994-08,1915.00,
1994-09,1922.00,
1994-10,1922.00,
1994-11,1928.00,
1994-12,1932.00,
1995-01,1951.00,
1995-02,1962.00,
1995-03,1969.00,
1995-04,1968.00,
1995-05,1967.00,
1995-06,1966.00,
1995-07,1967.00,
1995-08,1967.00,
1995-09,1968.00,
1995-10,1967.00,
1995-11,1977.00,
1995-12,1989.00,
1996-01,2009.00,
1996-02,2025.00,
1996-03,2032.00,
1996-04,2042.00,
1996-05,2046.00,
1996-06,2057.00,
1996-07,2067.00,
1996-08,2085.00,
1996-09,2085.00,
1996-10,2099.00,
1996-11,2101.00,
1996-12,2112.00,
1997-01,2127.00,
1997-02,2131.00,
1997-03,2148.00,
1997-04,2150.00,
1997-05,2162.00,
1997-06,2170.00,
1997-07,2175.00,
1997-08,2183.00,
1997-09,2193.00,
1997-10,2215.00,
1997-11,2245.00,
1997-12,2400.00,
1998-01,2533.00,
1998-02,2530.00,
1998-03,2585.00,
1998-04,2723.00,
1998-05,2715.00,
1998-06,2775.00,
1998-07,2815.00,
1998-08,2830.00,
1998-09,2825.00,
1998-10,2835.00,
1998-11,2842.00,
1998-12,2850.00,
1999-01,2855.00,
1999-02,2908.00,
