"",BBK01.TQ7015J,BBK01.TQ7015J_FLAGS
"","Deposit takers - Geographical distribution of loans to total loans - Developing Asia, incl. China         FSI-I015",
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:29,
2005-10,0.41,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.39,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,0.38,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,0.42,
2009-01,0.44,
2009-04,0.41,
2009-07,0.31,
2009-10,0.31,
2010-01,0.34,
2010-04,0.37,
2010-07,0.40,
2010-10,0.36,
2011-01,0.30,
2011-04,0.32,
2011-07,0.30,
2011-10,0.30,
2012-01,0.30,
2012-04,0.40,
2012-07,0.40,
2012-10,0.30,
2013-01,0.40,
2013-04,0.40,
2013-07,0.40,
2013-10,0.50,
2014-01,0.50,
2014-04,0.50,
2014-07,0.60,
