"",BBK01.OEAD22L,BBK01.OEAD22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:59,
2002-01,0.264,
2002-04,0.222,
2002-07,0.251,
2002-10,0.246,
2003-01,0.309,
2003-04,0.342,
2003-07,0.337,
2003-10,0.355,
2004-01,0.351,
2004-04,0.302,
2004-07,0.325,
2004-10,0.330,
2005-01,0.299,
2005-04,0.319,
2005-07,0.345,
2005-10,0.352,
2006-01,0.373,
2006-04,0.450,
2006-07,0.453,
2006-10,0.428,
2007-01,1.671,
2007-04,1.243,
2007-07,1.056,
2007-10,0.512,
2008-01,0.537,
2008-04,0.482,
2008-07,0.440,
2008-10,0.416,
2009-01,0.881,
2009-04,0.911,
2009-07,0.982,
2009-10,0.777,
2010-01,0.594,
2010-04,0.527,
2010-07,0.554,
2010-10,0.471,
2011-01,0.426,
2011-04,0.426,
2011-07,0.370,
2011-10,0.422,
2012-01,0.543,
2012-04,0.613,
2012-07,0.702,
2012-10,0.742,
2013-01,0.662,
2013-04,0.637,
2013-07,0.705,
2013-10,0.715,
2014-01,0.720,
2014-04,0.683,
2014-07,0.700,
