"",BBFN1.M.DE.N.1.L.SA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:00,
1994-07,0.091,
1994-08,0.092,
1994-09,0.086,
1994-10,0.062,
1994-11,0.061,
1994-12,0.077,
1995-01,0.068,
1995-02,0.071,
1995-03,0.072,
1995-04,0.077,
1995-05,0.076,
1995-06,0.057,
1995-07,0.075,
1995-08,0.067,
1995-09,0.067,
1995-10,0.064,
1995-11,0.074,
1995-12,0.070,
1996-01,0.058,
1996-02,0.058,
1996-03,0.066,
1996-04,0.066,
1996-05,0.079,
1996-06,0.073,
1996-07,0.069,
1996-08,0.069,
1996-09,0.072,
1996-10,0.078,
1996-11,0.067,
1996-12,0.077,
1997-01,0.075,
1997-02,0.082,
1997-03,0.087,
1997-04,0.077,
1997-05,0.076,
1997-06,0.086,
1997-07,0.082,
1997-08,0.080,
1997-09,0.070,
1997-10,0.067,
1997-11,0.071,
1997-12,0.061,
1998-01,0.068,
1998-02,0.065,
1998-03,0.061,
1998-04,0.055,
1998-05,0.060,
1998-06,0.051,
1998-07,0.046,
1998-08,0.045,
1998-09,0.050,
1998-10,0.055,
1998-11,0.052,
1998-12,0.050,
1999-01,0.048,
1999-02,0.054,
1999-03,0.051,
1999-04,0.044,
1999-05,0.052,
1999-06,0.052,
1999-07,0.059,
1999-08,0.067,
1999-09,0.058,
1999-10,0.061,
1999-11,0.069,
1999-12,0.060,
2000-01,0.058,
2000-02,0.063,
2000-03,0.065,
2000-04,0.071,
2000-05,0.072,
2000-06,0.079,
2000-07,0.076,
2000-08,0.087,
2000-09,0.070,
2000-10,0.067,
2000-11,0.074,
2000-12,0.078,
2001-01,0.074,
2001-02,0.063,
2001-03,0.067,
2001-04,0.060,
2001-05,0.065,
2001-06,0.077,
2001-07,0.074,
2001-08,0.076,
2001-09,0.077,
2001-10,0.063,
2001-11,0.085,
2001-12,0.062,
2002-01,0.062,
2002-02,0.067,
2002-03,0.064,
2002-04,0.068,
2002-05,0.087,
2002-06,0.087,
2002-07,0.071,
2002-08,0.077,
2002-09,0.083,
2002-10,0.073,
2002-11,0.072,
2002-12,0.082,
2003-01,0.144,
2003-02,0.129,
2003-03,0.121,
2003-04,0.117,
2003-05,0.124,
2003-06,0.124,
2003-07,0.115,
2003-08,0.108,
2003-09,0.101,
2003-10,0.110,
2003-11,0.108,
2003-12,0.110,
2004-01,0.106,
2004-02,0.109,
2004-03,0.113,
2004-04,0.110,
2004-05,0.098,
2004-06,0.101,
2004-07,0.089,
2004-08,0.089,
2004-09,0.092,
2004-10,0.107,
2004-11,0.093,
2004-12,0.088,
2005-01,0.085,
2005-02,0.086,
2005-03,0.084,
2005-04,0.095,
2005-05,0.103,
2005-06,0.098,
2005-07,0.101,
2005-08,0.095,
2005-09,0.098,
2005-10,0.116,
2005-11,0.110,
2005-12,0.125,
2006-01,0.105,
2006-02,0.095,
2006-03,0.091,
2006-04,0.091,
2006-05,0.093,
2006-06,0.095,
2006-07,0.093,
2006-08,0.104,
2006-09,0.094,
2006-10,0.104,
2006-11,0.102,
2006-12,0.092,
2007-01,0.087,
2007-02,0.092,
2007-03,0.109,
2007-04,0.120,
2007-05,0.097,
2007-06,0.094,
2007-07,0.096,
2007-08,0.105,
2007-09,0.101,
2007-10,0.100,
2007-11,0.105,
2007-12,0.108,
2008-01,0.123,
2008-02,0.113,
2008-03,0.115,
2008-04,0.103,
2008-05,0.097,
2008-06,0.091,
2008-07,0.095,
2008-08,0.088,
2008-09,0.123,
2008-10,0.100,
2008-11,0.136,
2008-12,0.133,
2009-01,0.181,
2009-02,0.151,
2009-03,0.156,
2009-04,0.148,
2009-05,0.142,
2009-06,0.137,
2009-07,0.121,
2009-08,0.081,
2009-09,0.082,
2009-10,0.082,
2009-11,0.100,
2009-12,0.105,
2010-01,0.099,
2010-02,0.105,
2010-03,0.089,
2010-04,0.101,
2010-05,0.127,
2010-06,0.144,
2010-07,0.123,
2010-08,0.114,
2010-09,0.120,
2010-10,0.111,
2010-11,0.108,
2010-12,0.119,
2011-01,0.116,
2011-02,0.094,
2011-03,0.123,
2011-04,0.092,
2011-05,0.101,
2011-06,0.114,
2011-07,0.100,
2011-08,0.088,
2011-09,0.105,
2011-10,0.096,
2011-11,0.098,
2011-12,0.110,
2012-01,0.085,
2012-02,0.085,
2012-03,0.083,
2012-04,0.111,
2012-05,0.086,
2012-06,0.116,
2012-07,0.102,
2012-08,0.102,
2012-09,0.096,
2012-10,0.093,
2012-11,0.129,
2012-12,0.126,
2013-01,0.136,
2013-02,0.152,
2013-03,0.177,
2013-04,0.110,
2013-05,0.095,
2013-06,0.086,
2013-07,0.116,
2013-08,0.084,
2013-09,0.210,
2013-10,0.206,
2013-11,0.216,
2013-12,0.254,
2014-01,0.198,
2014-02,0.177,
2014-03,0.223,
2014-04,0.233,
2014-05,0.203,
2014-06,0.205,
2014-07,0.223,
2014-08,0.222,
2014-09,0.275,
2014-10,0.215,
2014-11,0.224,
2014-12,0.216,
