"",BBK01.CEBH02,BBK01.CEBH02_FLAGS
"",Shares debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:33,
1991-01,133.6,
1991-04,140.2,
1991-07,135.9,
1991-10,141.8,
1992-01,155.0,
1992-04,151.4,
1992-07,133.6,
1992-10,148.2,
1993-01,164.1,
1993-04,164.0,
1993-07,192.7,
1993-10,225.2,
1994-01,216.1,
1994-04,212.2,
1994-07,209.9,
1994-10,225.9,
1995-01,208.7,
1995-04,226.9,
1995-07,235.8,
1995-10,265.9,
1996-01,283.8,
1996-04,294.9,
1996-07,305.9,
1996-10,338.3,
1997-01,406.2,
1997-04,448.7,
1997-07,490.7,
1997-10,514.4,
1998-01,607.3,
1998-04,669.1,
1998-07,574.2,
1998-10,631.5,
1999-01,619.1,
1999-04,640.0,
1999-07,608.3,
1999-10,856.7,
2000-01,926.5,
2000-04,890.5,
2000-07,897.1,
2000-10,817.0,
2001-01,774.1,
2001-04,773.8,
2001-07,640.4,
2001-10,720.8,
2002-01,749.9,
2002-04,650.8,
2002-07,488.0,
2002-10,455.7,
2003-01,411.2,
2003-04,482.1,
2003-07,489.4,
2003-10,494.5,
2004-01,499.6,
2004-04,498.5,
2004-07,477.6,
2004-10,522.5,
2005-01,540.5,
2005-04,561.6,
2005-07,612.3,
2005-10,661.7,
2006-01,657.1,
2006-04,643.0,
2006-07,696.5,
2006-10,743.2,
2007-01,705.4,
2007-04,697.0,
2007-07,654.4,
2007-10,668.8,
2008-01,594.6,
2008-04,556.7,
2008-07,520.7,
2008-10,422.3,
2009-01,399.9,
2009-04,415.7,
2009-07,440.8,
2009-10,465.6,
2010-01,473.3,
2010-04,464.9,
2010-07,467.4,
2010-10,509.2,
2011-01,517.7,
2011-04,522.8,
2011-07,456.3,
2011-10,487.1,
2012-01,516.2,
2012-04,486.8,
2012-07,514.9,
2012-10,541.9,
2013-01,561.5,
2013-04,563.6,
2013-07,595.9,
2013-10,614.7,
2014-01,626.2,
