"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.U9.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.U9.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:08,
2009-09,50077,
2009-10,48612,
2009-11,49441,
2009-12,53144,
2010-01,53112,
2010-02,55525,
2010-03,60304,
2010-04,61961,
2010-05,59265,
2010-06,58767,
2010-07,58169,
2010-08,57884,
2010-09,59832,
2010-10,61149,
2010-11,66035,
2010-12,70809,
2011-01,67890,
2011-02,68472,
2011-03,65950,
2011-04,65932,
2011-05,67728,
2011-06,65293,
2011-07,66252,
2011-08,59075,
2011-09,56670,
2011-10,60629,
2011-11,60008,
2011-12,63420,
2012-01,66414,
2012-02,68460,
2012-03,68828,
2012-04,68702,
2012-05,66384,
2012-06,66924,
2012-07,70958,
2012-08,71452,
2012-09,72381,
2012-10,71443,
2012-11,72153,
2012-12,73046,
2013-01,75987,
2013-02,80410,
2013-03,85328,
2013-04,85430,
2013-05,87155,
2013-06,84251,
2013-07,87069,
2013-08,87025,
2013-09,89904,
2013-10,92587,
2013-11,93476,
2013-12,93137,
2014-01,91820,
2014-02,94453,
2014-03,94821,
2014-04,96040,
2014-05,100671,
2014-06,102441,
2014-07,104524,
2014-08,108527,
2014-09,109752,
2014-10,111666,
2014-11,115007,
