"",BBK01.OEAC35R,BBK01.OEAC35R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:26,
2002-01,0.060,
2002-04,0.057,
2002-07,0.057,
2002-10,0.058,
2003-01,0.062,
2003-04,0.062,
2003-07,0.060,
2003-10,0.062,
2004-01,0.057,
2004-04,0.058,
2004-07,0.055,
2004-10,0.053,
2005-01,0.045,
2005-04,0.044,
2005-07,0.043,
2005-10,0.040,
2006-01,0.037,
2006-04,0.037,
2006-07,0.038,
2006-10,0.037,
2007-01,0.038,
2007-04,0.038,
2007-07,0.036,
2007-10,0.038,
2008-01,0.037,
2008-04,0.036,
2008-07,0.038,
2008-10,0.037,
2009-01,0.036,
2009-04,0.034,
2009-07,0.039,
2009-10,0.040,
2010-01,0.039,
2010-04,0.036,
2010-07,0.036,
2010-10,0.029,
2011-01,0.028,
2011-04,0.023,
2011-07,0.023,
2011-10,0.028,
2012-01,0.028,
2012-04,0.032,
2012-07,0.036,
2012-10,0.036,
2013-01,0.038,
2013-04,0.039,
2013-07,0.043,
2013-10,0.044,
2014-01,0.044,
2014-04,0.053,
2014-07,0.051,
