"",BBK01.OEAH73U,BBK01.OEAH73U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:37,
2002-01,0.571,
2002-04,0.599,
2002-07,0.558,
2002-10,0.455,
2003-01,0.500,
2003-04,0.493,
2003-07,0.522,
2003-10,0.501,
2004-01,0.584,
2004-04,0.516,
2004-07,0.545,
2004-10,0.469,
2005-01,0.479,
2005-04,0.478,
2005-07,0.546,
2005-10,0.498,
2006-01,0.633,
2006-04,0.654,
2006-07,0.725,
2006-10,0.763,
2007-01,0.871,
2007-04,0.930,
2007-07,1.007,
2007-10,1.015,
2008-01,1.039,
2008-04,1.112,
2008-07,1.232,
2008-10,0.957,
2009-01,0.677,
2009-04,0.545,
2009-07,0.431,
2009-10,0.362,
2010-01,0.319,
2010-04,0.292,
2010-07,0.323,
2010-10,0.338,
2011-01,0.404,
2011-04,0.450,
2011-07,0.505,
2011-10,0.659,
2012-01,0.739,
2012-04,0.779,
2012-07,0.784,
2012-10,0.720,
2013-01,0.674,
2013-04,0.647,
2013-07,0.697,
2013-10,0.643,
2014-01,0.702,
2014-04,0.671,
2014-07,0.645,
