"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.BE.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.BE.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Belgium / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:12,
2009-09,8016,
2009-10,8085,
2009-11,8172,
2009-12,8288,
2010-01,8745,
2010-02,8791,
2010-03,8838,
2010-04,9020,
2010-05,9273,
2010-06,9298,
2010-07,9596,
2010-08,10193,
2010-09,10297,
2010-10,10953,
2010-11,10492,
2010-12,9725,
2011-01,9243,
2011-02,9343,
2011-03,9241,
2011-04,9205,
2011-05,9105,
2011-06,8981,
2011-07,8751,
2011-08,9056,
2011-09,9297,
2011-10,8684,
2011-11,8149,
2011-12,8928,
2012-01,8748,
2012-02,9515,
2012-03,9903,
2012-04,10266,
2012-05,10875,
2012-06,10891,
2012-07,11435,
2012-08,11322,
2012-09,11361,
2012-10,11630,
2012-11,11832,
2012-12,12368,
2013-01,11847,
2013-02,11944,
2013-03,11717,
2013-04,11987,
2013-05,11825,
2013-06,11404,
2013-07,11793,
2013-08,11631,
2013-09,11895,
2013-10,12075,
2013-11,12044,
2013-12,12104,
2014-01,12655,
2014-02,12829,
2014-03,12809,
2014-04,12731,
2014-05,13166,
2014-06,13197,
2014-07,13350,
2014-08,13562,
2014-09,13262,
2014-10,13059,
2014-11,13019,
