"",BBK01.OEBI09L,BBK01.OEBI09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:08,
2002-01,1.159,
2002-04,1.116,
2002-07,1.166,
2002-10,1.126,
2003-01,1.012,
2003-04,0.935,
2003-07,0.870,
2003-10,0.852,
2004-01,0.813,
2004-04,0.768,
2004-07,0.732,
2004-10,0.726,
2005-01,0.756,
2005-04,0.729,
2005-07,0.660,
2005-10,0.661,
2006-01,0.654,
2006-04,0.759,
2006-07,0.781,
2006-10,0.804,
2007-01,1.042,
2007-04,1.131,
2007-07,1.235,
2007-10,1.408,
2008-01,1.511,
2008-04,1.584,
2008-07,1.712,
2008-10,2.536,
2009-01,2.522,
2009-04,2.492,
2009-07,2.470,
2009-10,1.990,
2010-01,1.606,
2010-04,1.544,
2010-07,1.490,
2010-10,1.766,
2011-01,2.011,
2011-04,2.090,
2011-07,2.137,
2011-10,2.089,
2012-01,1.933,
2012-04,1.931,
2012-07,1.843,
2012-10,1.621,
2013-01,1.388,
2013-04,1.249,
2013-07,1.202,
2013-10,1.164,
2014-01,1.102,
2014-04,1.071,
2014-07,1.355,
