"",BBK01.OEAF32K,BBK01.OEAF32K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:08,
2002-01,38.543,
2002-04,38.669,
2002-07,40.008,
2002-10,39.634,
2003-01,38.645,
2003-04,34.382,
2003-07,35.048,
2003-10,34.851,
2004-01,36.719,
2004-04,37.919,
2004-07,38.315,
2004-10,39.324,
2005-01,39.242,
2005-04,39.452,
2005-07,39.509,
2005-10,39.504,
2006-01,39.068,
2006-04,38.795,
2006-07,38.369,
2006-10,38.071,
2007-01,36.607,
2007-04,36.162,
2007-07,35.045,
2007-10,34.372,
2008-01,33.835,
2008-04,33.490,
2008-07,33.059,
2008-10,32.593,
2009-01,31.984,
2009-04,32.958,
2009-07,32.859,
2009-10,32.227,
2010-01,31.836,
2010-04,31.407,
2010-07,31.174,
2010-10,31.144,
2011-01,30.477,
2011-04,30.268,
2011-07,30.132,
2011-10,30.037,
2012-01,29.750,
2012-04,29.540,
2012-07,29.263,
2012-10,29.022,
2013-01,28.757,
2013-04,28.594,
2013-07,27.998,
2013-10,27.660,
2014-01,27.513,
2014-04,27.438,
2014-07,27.377,
