"",BBK01.OEAB06G,BBK01.OEAB06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:24,
2002-01,51.015,
2002-04,52.953,
2002-07,52.800,
2002-10,52.502,
2003-01,49.836,
2003-04,52.476,
2003-07,50.747,
2003-10,50.323,
2004-01,49.795,
2004-04,47.819,
2004-07,45.688,
2004-10,46.596,
2005-01,44.240,
2005-04,45.443,
2005-07,41.522,
2005-10,39.671,
2006-01,41.343,
2006-04,41.896,
2006-07,42.311,
2006-10,39.989,
2007-01,41.518,
2007-04,42.534,
2007-07,46.125,
2007-10,47.745,
2008-01,47.299,
2008-04,48.701,
2008-07,49.187,
2008-10,50.091,
2009-01,54.918,
2009-04,52.642,
2009-07,49.621,
2009-10,46.240,
2010-01,47.081,
2010-04,46.221,
2010-07,46.291,
2010-10,43.692,
2011-01,46.518,
2011-04,46.374,
2011-07,46.419,
2011-10,44.445,
2012-01,47.076,
2012-04,49.929,
2012-07,49.986,
2012-10,44.393,
2013-01,45.285,
2013-04,43.515,
2013-07,38.384,
2013-10,34.221,
2014-01,35.385,
2014-04,36.202,
2014-07,35.475,
