"",BBK01.CEH71Q,BBK01.CEH71Q_FLAGS
"",Other liabilities debtor: Non-financial corporations                    creditor: All sectors  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:32,
1991-01,0.8,
1991-04,2.1,
1991-07,-1.0,
1991-10,0.4,
1992-01,0.5,
1992-04,0.0,
1992-07,-1.7,
1992-10,0.7,
1993-01,-0.5,
1993-04,-0.6,
1993-07,-0.6,
1993-10,0.8,
1994-01,1.0,
1994-04,1.0,
1994-07,0.5,
1994-10,3.8,
1995-01,0.7,
1995-04,1.4,
1995-07,-0.4,
1995-10,-0.9,
1996-01,0.6,
1996-04,0.0,
1996-07,-0.9,
1996-10,2.5,
1997-01,1.3,
1997-04,1.9,
1997-07,1.4,
1997-10,2.4,
1998-01,2.0,
1998-04,-0.8,
1998-07,0.3,
1998-10,-2.4,
1999-01,1.6,
1999-04,-0.2,
1999-07,-0.6,
1999-10,5.2,
2000-01,3.4,
2000-04,1.5,
2000-07,2.7,
2000-10,3.6,
2001-01,-0.1,
2001-04,1.2,
2001-07,-2.3,
2001-10,4.7,
2002-01,-6.8,
2002-04,0.6,
2002-07,0.7,
2002-10,2.2,
2003-01,-0.4,
2003-04,-1.3,
2003-07,0.2,
2003-10,1.2,
2004-01,3.6,
2004-04,0.1,
2004-07,2.0,
2004-10,1.9,
2005-01,1.9,
2005-04,3.7,
2005-07,3.3,
2005-10,4.4,
2006-01,2.8,
2006-04,1.1,
2006-07,2.8,
2006-10,6.4,
2007-01,3.1,
2007-04,2.4,
2007-07,4.1,
2007-10,2.8,
2008-01,3.3,
2008-04,2.9,
2008-07,0.6,
2008-10,-8.6,
2009-01,0.2,
2009-04,4.0,
2009-07,0.8,
2009-10,4.0,
2010-01,-0.5,
2010-04,7.0,
2010-07,2.5,
2010-10,4.3,
2011-01,4.6,
2011-04,0.3,
2011-07,3.9,
2011-10,4.3,
2012-01,-3.1,
2012-04,0.6,
2012-07,2.6,
2012-10,2.9,
2013-01,-0.7,
2013-04,-4.5,
2013-07,3.7,
2013-10,-3.0,
2014-01,-0.6,
