"",BBK01.OEAJ09H,BBK01.OEAJ09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:50,
2002-01,0.115,
2002-04,0.116,
2002-07,0.108,
2002-10,0.113,
2003-01,0.099,
2003-04,0.093,
2003-07,0.083,
2003-10,0.092,
2004-01,0.095,
2004-04,0.097,
2004-07,0.099,
2004-10,0.113,
2005-01,0.114,
2005-04,0.114,
2005-07,0.114,
2005-10,0.119,
2006-01,0.114,
2006-04,0.114,
2006-07,0.122,
2006-10,0.125,
2007-01,0.127,
2007-04,0.118,
2007-07,0.102,
2007-10,0.100,
2008-01,0.093,
2008-04,0.084,
2008-07,0.071,
2008-10,0.075,
2009-01,0.102,
2009-04,0.124,
2009-07,0.144,
2009-10,0.168,
2010-01,0.179,
2010-04,0.158,
2010-07,0.131,
2010-10,0.115,
2011-01,0.107,
2011-04,0.116,
2011-07,0.111,
2011-10,0.100,
2012-01,0.102,
2012-04,0.101,
2012-07,0.118,
2012-10,0.127,
2013-01,0.139,
2013-04,0.138,
2013-07,0.142,
2013-10,0.150,
2014-01,0.165,
2014-04,0.175,
2014-07,0.175,
