"",BBK01.OEYL02G,BBK01.OEYL02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:00,
2002-01,2.220,
2002-04,2.349,
2002-07,2.287,
2002-10,2.355,
2003-01,2.432,
2003-04,2.541,
2003-07,2.552,
2003-10,2.519,
2004-01,2.568,
2004-04,2.638,
2004-07,2.584,
2004-10,2.557,
2005-01,2.647,
2005-04,2.680,
2005-07,3.224,
2005-10,3.300,
2006-01,3.364,
2006-04,3.656,
2006-07,3.544,
2006-10,3.543,
2007-01,3.772,
2007-04,4.090,
2007-07,4.092,
2007-10,4.124,
2008-01,4.160,
2008-04,4.364,
2008-07,4.139,
2008-10,5.091,
2009-01,5.577,
2009-04,7.172,
2009-07,6.985,
2009-10,7.422,
2010-01,8.027,
2010-04,8.245,
2010-07,7.922,
2010-10,8.487,
2011-01,8.135,
2011-04,8.262,
2011-07,8.308,
2011-10,8.618,
2012-01,8.983,
2012-04,8.888,
2012-07,9.135,
2012-10,9.563,
2013-01,9.820,
2013-04,10.226,
2013-07,10.001,
2013-10,10.204,
2014-01,10.023,
2014-04,10.279,
2014-07,10.259,
