"",BBK01.OEBB02U,BBK01.OEBB02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:59,
2002-01,1.166,
2002-04,1.171,
2002-07,1.181,
2002-10,1.197,
2003-01,1.160,
2003-04,1.129,
2003-07,1.093,
2003-10,1.107,
2004-01,1.100,
2004-04,0.989,
2004-07,1.009,
2004-10,0.964,
2005-01,1.014,
2005-04,1.012,
2005-07,1.053,
2005-10,0.991,
2006-01,0.979,
2006-04,0.949,
2006-07,0.938,
2006-10,0.950,
2007-01,0.961,
2007-04,1.079,
2007-07,0.995,
2007-10,0.951,
2008-01,1.038,
2008-04,1.034,
2008-07,0.954,
2008-10,0.934,
2009-01,0.914,
2009-04,0.869,
2009-07,0.886,
2009-10,0.751,
2010-01,0.758,
2010-04,0.796,
2010-07,0.712,
2010-10,0.612,
2011-01,0.672,
2011-04,0.687,
2011-07,0.695,
2011-10,0.660,
2012-01,0.704,
2012-04,0.675,
2012-07,0.679,
2012-10,0.630,
2013-01,0.677,
2013-04,0.681,
2013-07,0.677,
2013-10,0.636,
2014-01,0.688,
2014-04,0.747,
2014-07,0.702,
