"",BBK01.OEAE07S,BBK01.OEAE07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:49,
2002-01,0.712,
2002-04,0.717,
2002-07,0.709,
2002-10,0.608,
2003-01,0.599,
2003-04,0.602,
2003-07,0.601,
2003-10,0.622,
2004-01,0.608,
2004-04,0.607,
2004-07,0.609,
2004-10,0.560,
2005-01,0.612,
2005-04,0.616,
2005-07,0.616,
2005-10,0.629,
2006-01,0.634,
2006-04,0.654,
2006-07,0.682,
2006-10,0.713,
2007-01,0.690,
2007-04,0.696,
2007-07,0.673,
2007-10,0.700,
2008-01,0.700,
2008-04,0.700,
2008-07,0.701,
2008-10,0.707,
2009-01,0.693,
2009-04,0.750,
2009-07,0.746,
2009-10,0.736,
2010-01,0.745,
2010-04,0.740,
2010-07,0.753,
2010-10,0.767,
2011-01,0.754,
2011-04,0.774,
2011-07,0.775,
2011-10,0.781,
2012-01,0.784,
2012-04,1.146,
2012-07,1.164,
2012-10,1.191,
2013-01,1.183,
2013-04,1.178,
2013-07,1.198,
2013-10,1.195,
2014-01,1.182,
2014-04,1.181,
2014-07,1.170,
