"",BBK01.OELJ03Q,BBK01.OELJ03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:35,
2002-01,1.124,
2002-04,1.078,
2002-07,0.989,
2002-10,1.042,
2003-01,1.030,
2003-04,0.435,
2003-07,1.114,
2003-10,1.096,
2004-01,1.106,
2004-04,1.262,
2004-07,1.217,
2004-10,1.156,
2005-01,1.012,
2005-04,1.059,
2005-07,0.921,
2005-10,1.293,
2006-01,1.348,
2006-04,1.420,
2006-07,1.444,
2006-10,1.406,
2007-01,1.505,
2007-04,1.490,
2007-07,1.536,
2007-10,1.497,
2008-01,1.374,
2008-04,1.383,
2008-07,1.405,
2008-10,1.426,
2009-01,1.307,
2009-04,1.233,
2009-07,1.264,
2009-10,1.211,
2010-01,1.114,
2010-04,1.160,
2010-07,1.144,
2010-10,1.258,
2011-01,1.197,
2011-04,1.224,
2011-07,1.226,
2011-10,1.182,
2012-01,1.160,
2012-04,1.175,
2012-07,1.121,
2012-10,1.153,
2013-01,1.193,
2013-04,1.085,
2013-07,1.062,
2013-10,1.098,
2014-01,1.152,
2014-04,1.108,
2014-07,1.135,
