"",BBK01.OEBB05O,BBK01.OEBB05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:48,
2002-01,-26.022,
2002-04,-27.091,
2002-07,-27.443,
2002-10,-26.162,
2003-01,-26.262,
2003-04,-26.994,
2003-07,-27.409,
2003-10,-27.001,
2004-01,-27.326,
2004-04,-28.653,
2004-07,-30.212,
2004-10,-31.436,
2005-01,10.390,
2005-04,10.147,
2005-07,10.111,
2005-10,10.121,
2006-01,9.994,
2006-04,9.719,
2006-07,10.157,
2006-10,10.202,
2007-01,10.230,
2007-04,10.276,
2007-07,10.202,
2007-10,10.272,
2008-01,10.386,
2008-04,10.318,
2008-07,10.524,
2008-10,10.213,
2009-01,11.133,
2009-04,11.655,
2009-07,11.740,
2009-10,11.559,
2010-01,11.342,
2010-04,11.469,
2010-07,12.161,
2010-10,12.202,
2011-01,11.629,
2011-04,11.830,
2011-07,11.574,
2011-10,11.407,
2012-01,11.780,
2012-04,11.910,
2012-07,11.708,
2012-10,11.598,
2013-01,11.696,
2013-04,11.742,
2013-07,11.612,
2013-10,11.334,
2014-01,11.481,
2014-04,11.651,
2014-07,11.662,
