"",BBK01.OECL09K,BBK01.OECL09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:13,
2002-01,0.121,
2002-04,0.119,
2002-07,0.118,
2002-10,0.118,
2003-01,0.114,
2003-04,0.111,
2003-07,0.109,
2003-10,0.111,
2004-01,0.110,
2004-04,0.109,
2004-07,0.105,
2004-10,0.113,
2005-01,0.116,
2005-04,0.114,
2005-07,0.108,
2005-10,0.107,
2006-01,0.107,
2006-04,0.108,
2006-07,0.117,
2006-10,0.125,
2007-01,0.141,
2007-04,0.151,
2007-07,0.162,
2007-10,0.176,
2008-01,0.193,
2008-04,0.213,
2008-07,0.229,
2008-10,0.345,
2009-01,0.350,
2009-04,0.352,
2009-07,0.346,
2009-10,0.292,
2010-01,0.253,
2010-04,0.238,
2010-07,0.226,
2010-10,0.239,
2011-01,0.254,
2011-04,0.263,
2011-07,0.269,
2011-10,0.272,
2012-01,0.265,
2012-04,0.255,
2012-07,0.234,
2012-10,0.194,
2013-01,0.167,
2013-04,0.154,
2013-07,0.147,
2013-10,0.144,
2014-01,0.141,
2014-04,0.133,
2014-07,0.154,
