"",BBSF2.M.1.T.00000.DAK01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:23,
2009-09,1478,
2009-10,1430,
2009-11,1519,
2009-12,1588,
2010-01,1468,
2010-02,1477,
2010-03,1584,
2010-04,1550,
2010-05,1514,
2010-06,1162,
2010-07,1148,
2010-08,1261,
2010-09,1299,
2010-10,1313,
2010-11,1353,
2010-12,1440,
2011-01,1381,
2011-02,1364,
2011-03,1348,
2011-04,1352,
2011-05,1335,
2011-06,1312,
2011-07,1321,
2011-08,1140,
2011-09,1102,
2011-10,1176,
2011-11,1134,
2011-12,1171,
2012-01,1237,
2012-02,1272,
2012-03,1281,
2012-04,1283,
2012-05,1238,
2012-06,1255,
2012-07,1370,
2012-08,1392,
2012-09,1424,
2012-10,1425,
2012-11,1435,
2012-12,1454,
2013-01,1466,
2013-02,1457,
2013-03,1518,
2013-04,1515,
2013-05,1508,
2013-06,1435,
2013-07,1494,
2013-08,1477,
2013-09,1450,
2013-10,1503,
2013-11,1534,
2013-12,1549,
2014-01,1502,
2014-02,1551,
2014-03,1561,
2014-04,1527,
2014-05,1601,
2014-06,1616,
2014-07,1615,
2014-08,1609,
2014-09,1625,
2014-10,1626,
2014-11,1706,
