"",BBK01.OEAA10I,BBK01.OEAA10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:09,
2002-01,17.788,
2002-04,15.667,
2002-07,15.756,
2002-10,14.862,
2003-01,13.718,
2003-04,13.687,
2003-07,14.302,
2003-10,12.443,
2004-01,12.786,
2004-04,11.997,
2004-07,12.056,
2004-10,11.911,
2005-01,11.233,
2005-04,11.050,
2005-07,12.267,
2005-10,11.556,
2006-01,11.405,
2006-04,10.946,
2006-07,11.328,
2006-10,12.292,
2007-01,10.219,
2007-04,9.897,
2007-07,9.909,
2007-10,13.064,
2008-01,14.351,
2008-04,14.171,
2008-07,15.745,
2008-10,14.567,
2009-01,14.850,
2009-04,15.205,
2009-07,15.417,
2009-10,16.890,
2010-01,17.254,
2010-04,15.985,
2010-07,12.787,
2010-10,13.067,
2011-01,14.220,
2011-04,15.566,
2011-07,16.908,
2011-10,12.948,
2012-01,16.910,
2012-04,18.087,
2012-07,16.145,
2012-10,12.432,
2013-01,13.826,
2013-04,16.663,
2013-07,8.849,
2013-10,9.292,
2014-01,9.752,
2014-04,10.004,
2014-07,9.294,
