"",BBSF2.M.1.T.00000.GEF01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.GEF01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Funds total / Mixed funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:03,
2009-09,299,
2009-10,244,
2009-11,218,
2009-12,150,
2010-01,96,
2010-02,91,
2010-03,110,
2010-04,151,
2010-05,304,
2010-06,266,
2010-07,305,
2010-08,323,
2010-09,436,
2010-10,440,
2010-11,499,
2010-12,563,
2011-01,585,
2011-02,617,
2011-03,644,
2011-04,775,
2011-05,778,
2011-06,845,
2011-07,940,
2011-08,807,
2011-09,812,
2011-10,863,
2011-11,751,
2011-12,788,
2012-01,716,
2012-02,706,
2012-03,683,
2012-04,1093,
2012-05,1103,
2012-06,1035,
2012-07,649,
2012-08,588,
2012-09,507,
2012-10,446,
2012-11,360,
2012-12,259,
2013-01,363,
2013-02,380,
2013-03,350,
2013-04,328,
2013-05,382,
2013-06,494,
2013-07,513,
2013-08,545,
2013-09,606,
2013-10,610,
2013-11,660,
2013-12,516,
2014-01,457,
2014-02,431,
2014-03,421,
2014-04,349,
2014-05,377,
2014-06,457,
2014-07,498,
2014-08,238,
2014-09,286,
2014-10,268,
2014-11,250,
