"",BBK01.OEXI06P,BBK01.OEXI06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:03,
2002-01,0.016,
2002-04,0.015,
2002-07,0.019,
2002-10,0.033,
2003-01,0.032,
2003-04,0.033,
2003-07,0.033,
2003-10,0.016,
2004-01,0.021,
2004-04,0.021,
2004-07,0.020,
2004-10,0.018,
2005-01,0.026,
2005-04,0.025,
2005-07,0.028,
2005-10,0.031,
2006-01,0.033,
2006-04,0.037,
2006-07,0.046,
2006-10,0.049,
2007-01,0.053,
2007-04,0.054,
2007-07,0.054,
2007-10,0.064,
2008-01,0.079,
2008-04,0.090,
2008-07,0.096,
2008-10,0.110,
2009-01,0.131,
2009-04,0.114,
2009-07,0.099,
2009-10,0.089,
2010-01,0.089,
2010-04,0.112,
2010-07,0.123,
2010-10,0.128,
2011-01,0.136,
2011-04,0.153,
2011-07,0.168,
2011-10,0.179,
2012-01,0.172,
2012-04,0.174,
2012-07,0.171,
2012-10,0.161,
2013-01,0.137,
2013-04,0.107,
2013-07,0.101,
2013-10,0.099,
2014-01,0.095,
2014-04,0.084,
2014-07,0.073,
