"",BBK01.OEAA12M,BBK01.OEAA12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:42,
2002-01,0.232,
2002-04,0.256,
2002-07,0.198,
2002-10,0.237,
2003-01,0.191,
2003-04,0.204,
2003-07,0.195,
2003-10,0.184,
2004-01,0.171,
2004-04,0.161,
2004-07,0.157,
2004-10,0.189,
2005-01,0.150,
2005-04,0.140,
2005-07,0.149,
2005-10,0.165,
2006-01,0.140,
2006-04,0.148,
2006-07,0.135,
2006-10,0.134,
2007-01,0.098,
2007-04,0.096,
2007-07,0.091,
2007-10,0.109,
2008-01,0.085,
2008-04,0.083,
2008-07,0.080,
2008-10,0.114,
2009-01,0.076,
2009-04,0.072,
2009-07,0.060,
2009-10,0.097,
2010-01,0.051,
2010-04,0.051,
2010-07,0.046,
2010-10,0.079,
2011-01,0.053,
2011-04,0.049,
2011-07,0.049,
2011-10,0.110,
2012-01,0.050,
2012-04,0.043,
2012-07,0.039,
2012-10,0.091,
2013-01,0.076,
2013-04,0.050,
2013-07,0.051,
2013-10,0.092,
2014-01,0.043,
2014-04,0.046,
2014-07,0.043,
