"",BBK01.OEBB06G,BBK01.OEBB06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:34,
2002-01,15.141,
2002-04,16.183,
2002-07,15.952,
2002-10,15.436,
2003-01,14.367,
2003-04,15.252,
2003-07,15.941,
2003-10,15.777,
2004-01,15.147,
2004-04,14.178,
2004-07,14.069,
2004-10,14.552,
2005-01,11.563,
2005-04,12.432,
2005-07,7.432,
2005-10,6.804,
2006-01,7.330,
2006-04,7.812,
2006-07,7.525,
2006-10,7.178,
2007-01,7.588,
2007-04,7.908,
2007-07,8.023,
2007-10,8.137,
2008-01,9.213,
2008-04,9.607,
2008-07,10.016,
2008-10,9.786,
2009-01,11.430,
2009-04,11.046,
2009-07,10.337,
2009-10,8.857,
2010-01,8.889,
2010-04,8.874,
2010-07,8.187,
2010-10,7.862,
2011-01,7.956,
2011-04,8.730,
2011-07,8.545,
2011-10,7.975,
2012-01,8.056,
2012-04,8.684,
2012-07,8.277,
2012-10,8.637,
2013-01,8.953,
2013-04,8.957,
2013-07,8.954,
2013-10,8.680,
2014-01,9.270,
2014-04,9.723,
2014-07,9.634,
