"",BBFB1.M.N.DE.W1.S1.S1.T.D.SC3___BH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SC3___BH._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Other modes of transport / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:33,
1991-01,405.544,
1991-02,398.972,
1991-03,416.069,
1991-04,388.056,
1991-05,386.751,
1991-06,447.446,
1991-07,482.903,
1991-08,495.260,
1991-09,451.261,
1991-10,471.656,
1991-11,485.290,
1991-12,504.260,
1992-01,448.304,
1992-02,446.703,
1992-03,474.837,
1992-04,473.340,
1992-05,476.159,
1992-06,485.979,
1992-07,504.914,
1992-08,483.539,
1992-09,452.507,
1992-10,447.563,
1992-11,436.030,
1992-12,478.812,
1993-01,464.868,
1993-02,476.673,
1993-03,408.978,
1993-04,511.932,
1993-05,474.688,
1993-06,447.583,
1993-07,541.752,
1993-08,511.164,
1993-09,432.283,
1993-10,532.302,
1993-11,522.941,
1993-12,466.397,
1994-01,473.187,
1994-02,486.763,
1994-03,514.839,
1994-04,521.123,
1994-05,525.925,
1994-06,567.846,
1994-07,515.602,
1994-08,522.936,
1994-09,524.582,
1994-10,534.135,
1994-11,518.703,
1994-12,534.197,
1995-01,522.914,
1995-02,505.291,
1995-03,567.788,
1995-04,500.246,
1995-05,548.389,
1995-06,542.512,
1995-07,528.182,
1995-08,522.295,
1995-09,539.088,
1995-10,556.082,
1995-11,536.864,
1995-12,547.765,
1996-01,529.871,
1996-02,524.575,
1996-03,564.922,
1996-04,547.036,
1996-05,575.123,
1996-06,535.121,
1996-07,528.228,
1996-08,557.349,
1996-09,523.106,
1996-10,591.559,
1996-11,560.223,
1996-12,561.927,
1997-01,538.775,
1997-02,562.771,
1997-03,558.062,
1997-04,606.959,
1997-05,593.297,
1997-06,617.165,
1997-07,636.073,
1997-08,575.720,
1997-09,618.338,
1997-10,641.699,
1997-11,653.086,
1997-12,656.510,
1998-01,625.085,
1998-02,565.634,
1998-03,668.816,
1998-04,660.332,
1998-05,646.383,
1998-06,665.339,
1998-07,719.723,
1998-08,602.859,
1998-09,700.324,
1998-10,686.511,
1998-11,642.077,
1998-12,650.911,
1999-01,575.608,
1999-02,610.410,
1999-03,661.588,
1999-04,670.914,
1999-05,689.820,
1999-06,723.645,
1999-07,685.815,
1999-08,659.435,
1999-09,724.023,
1999-10,735.871,
1999-11,758.046,
1999-12,778.308,
2000-01,772.413,
2000-02,749.193,
2000-03,825.081,
2000-04,751.284,
2000-05,922.097,
2000-06,860.374,
2000-07,840.696,
2000-08,884.947,
2000-09,869.727,
2000-10,895.834,
2000-11,958.809,
2000-12,884.132,
2001-01,910.169,
2001-02,882.376,
2001-03,922.976,
2001-04,904.621,
2001-05,935.067,
2001-06,958.016,
2001-07,966.864,
2001-08,888.109,
2001-09,835.693,
2001-10,920.876,
2001-11,882.870,
2001-12,764.786,
2002-01,829.268,
2002-02,880.141,
2002-03,841.081,
2002-04,916.674,
2002-05,835.424,
2002-06,899.885,
2002-07,902.985,
2002-08,859.736,
2002-09,881.756,
2002-10,948.255,
2002-11,921.339,
2002-12,845.925,
2003-01,874.193,
2003-02,856.772,
2003-03,893.200,
2003-04,893.738,
2003-05,904.597,
2003-06,890.192,
2003-07,996.870,
2003-08,861.719,
2003-09,933.378,
2003-10,975.201,
2003-11,984.270,
2003-12,906.945,
2004-01,981.469,
2004-02,938.751,
2004-03,1069.286,
2004-04,1050.345,
2004-05,971.402,
2004-06,1005.211,
2004-07,1034.116,
2004-08,975.656,
2004-09,1040.446,
2004-10,1059.892,
2004-11,1100.851,
2004-12,1019.943,
2005-01,985.439,
2005-02,989.819,
2005-03,1042.402,
2005-04,1036.208,
2005-05,1137.086,
2005-06,1077.060,
2005-07,1024.608,
2005-08,1095.535,
2005-09,1033.491,
2005-10,1087.772,
2005-11,1076.796,
2005-12,1010.163,
2006-01,1080.600,
2006-02,1024.295,
2006-03,1102.260,
2006-04,1061.420,
2006-05,1113.782,
2006-06,1088.208,
2006-07,1140.509,
2006-08,1114.886,
2006-09,1133.962,
2006-10,1277.730,
2006-11,1247.815,
2006-12,1139.364,
2007-01,1195.405,
2007-02,1194.853,
2007-03,1212.803,
2007-04,1292.050,
2007-05,1327.907,
2007-06,1375.993,
2007-07,1323.483,
2007-08,1397.983,
2007-09,1398.199,
2007-10,1548.411,
2007-11,1482.203,
2007-12,1401.649,
2008-01,1503.528,
2008-02,1460.768,
2008-03,1417.252,
2008-04,1471.435,
2008-05,1527.614,
2008-06,1553.117,
2008-07,1534.526,
2008-08,1396.441,
2008-09,1480.852,
2008-10,1408.901,
2008-11,1285.862,
2008-12,1024.133,
2009-01,1007.276,
2009-02,1018.397,
2009-03,1058.640,
2009-04,996.064,
2009-05,1071.326,
2009-06,1124.575,
2009-07,1145.216,
2009-08,1098.252,
2009-09,1194.001,
2009-10,1180.606,
2009-11,1112.424,
2009-12,1122.474,
2010-01,1115.632,
2010-02,1178.441,
2010-03,1388.926,
2010-04,1311.667,
2010-05,1470.527,
2010-06,1486.392,
2010-07,1386.506,
2010-08,1440.843,
2010-09,1434.074,
2010-10,1390.198,
2010-11,1395.034,
2010-12,1349.664,
2011-01,1294.774,
2011-02,1246.258,
2011-03,1407.372,
2011-04,1272.048,
2011-05,1321.512,
2011-06,1340.708,
2011-07,1283.638,
2011-08,1290.577,
2011-09,1363.164,
2011-10,1268.000,
2011-11,1339.507,
2011-12,1229.479,
2012-01,1232.334,
2012-02,1250.504,
2012-03,1399.393,
2012-04,1263.830,
2012-05,1348.771,
2012-06,1295.902,
2012-07,1322.835,
2012-08,1228.484,
2012-09,1206.900,
2012-10,1368.431,
2012-11,1278.992,
2012-12,1185.643,
2013-01,1165.750,
2013-02,1101.487,
2013-03,1249.072,
2013-04,1241.451,
2013-05,1251.713,
2013-06,1246.434,
2013-07,1359.083,
2013-08,1573.394,
2013-09,1340.978,
2013-10,1458.423,
2013-11,1516.789,
2013-12,1459.928,
2014-01,1454.937,
2014-02,1434.757,Provisional value
2014-03,1414.753,Provisional value
2014-04,1448.119,Provisional value
2014-05,1460.327,Provisional value
2014-06,1405.738,Provisional value
2014-07,1509.873,Provisional value
2014-08,1431.339,Provisional value
2014-09,1539.669,
2014-10,1561.491,
2014-11,1534.217,
2014-12,1565.256,Provisional value
