"",BBK01.OEAD33O,BBK01.OEAD33O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:52,
2002-01,0.201,
2002-04,0.219,
2002-07,0.186,
2002-10,0.188,
2003-01,0.182,
2003-04,0.181,
2003-07,0.177,
2003-10,0.162,
2004-01,0.158,
2004-04,0.155,
2004-07,0.141,
2004-10,0.097,
2005-01,0.096,
2005-04,0.102,
2005-07,0.100,
2005-10,0.107,
2006-01,0.106,
2006-04,0.106,
2006-07,0.115,
2006-10,0.140,
2007-01,0.169,
2007-04,0.145,
2007-07,0.146,
2007-10,0.163,
2008-01,0.166,
2008-04,0.163,
2008-07,0.135,
2008-10,0.157,
2009-01,0.167,
2009-04,0.149,
2009-07,0.145,
2009-10,0.144,
2010-01,0.117,
2010-04,0.142,
2010-07,0.148,
2010-10,0.145,
2011-01,0.144,
2011-04,0.144,
2011-07,0.145,
2011-10,0.152,
2012-01,0.158,
2012-04,0.169,
2012-07,0.172,
2012-10,0.161,
2013-01,0.169,
2013-04,0.161,
2013-07,0.155,
2013-10,0.148,
2014-01,0.152,
2014-04,0.150,
2014-07,0.153,
